HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003526@300329@101101715@1231@101103@202775,MAIN,ALCAFT 0.25 % EYE DROPS 5 ML,MICRO LABS LTD,ALCAFTADINE EYE DROPS 0.25 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,240.00,48.00,Dec-2025
1521003526@300329@101101715@1231@101103@202775,OTHER,ALCATOP,SUNWAYS (INDIA) PVT LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,181.88,36.38,Dec-2025
1521003526@300329@101101715@1231@101103@202775,OTHER,CAFTADINE,ENTOD PHARMACEUTICALS LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,246.56,49.31,Dec-2025
1521003526@300329@101101715@1231@101103@202775,OTHER,CAFTA,SUN PHARMA LABORATORIES LTD.,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,280.31,56.06,Dec-2025
1521001419@233023@101101718@3311@101103@202775,MAIN,ALCAREX 2.5 MG EYE DROPS 5 ML,AJANTA PHARMA LTD,ALCAFTADINE EYE DROPS 2.5 MG,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,294.38,58.88,Dec-2025
1521088881@332482@101107087@1231@101103@202775,MAIN,ALCATOP 0.25 % EYE DROPS 5 ML,SUNWAYS (INDIA) PVT LTD,ALCAFTADINE EYE DROPS 0.25 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,181.88,36.38,Dec-2025
1521088881@332482@101107087@1231@101103@202775,OTHER,ALCAFT,MICRO LABS LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,240.00,48.00,Dec-2025
1521088881@332482@101107087@1231@101103@202775,OTHER,CAFTADINE,ENTOD PHARMACEUTICALS LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,246.56,49.31,Dec-2025
1521088881@332482@101107087@1231@101103@202775,OTHER,CAFTA,SUN PHARMA LABORATORIES LTD.,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,280.31,56.06,Dec-2025
1521015049@305731@101122136@1231@101103@202775,MAIN,CAFTA 0.25 % EYE DROPS 5 ML,SUN PHARMA LABORATORIES LTD.,ALCAFTADINE EYE DROPS 0.25 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,280.31,56.06,Dec-2025
1521015049@305731@101122136@1231@101103@202775,OTHER,ALCATOP,SUNWAYS (INDIA) PVT LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,181.88,36.38,Dec-2025
1521015049@305731@101122136@1231@101103@202775,OTHER,ALCAFT,MICRO LABS LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,240.00,48.00,Dec-2025
1521015049@305731@101122136@1231@101103@202775,OTHER,CAFTADINE,ENTOD PHARMACEUTICALS LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,246.56,49.31,Dec-2025
1521093562@339904@101189869@1231@101103@202775,MAIN,CAFTADINE 0.25 % EYE DROPS 5 ML,ENTOD PHARMACEUTICALS LTD,ALCAFTADINE EYE DROPS 0.25 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,246.56,49.31,Dec-2025
1521093562@339904@101189869@1231@101103@202775,OTHER,ALCATOP,SUNWAYS (INDIA) PVT LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,181.88,36.38,Dec-2025
1521093562@339904@101189869@1231@101103@202775,OTHER,ALCAFT,MICRO LABS LTD,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,240.00,48.00,Dec-2025
1521093562@339904@101189869@1231@101103@202775,OTHER,CAFTA,SUN PHARMA LABORATORIES LTD.,ALCAFTADINE EYE DROPS 0.25 %,5,EYE DROPS,Non-Scheduled,-1,280.31,56.06,Dec-2025
