HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521005422@140005@101109477@3925@101101@205177,MAIN,ALOKEM 75 % GEL 50 GM,ALKEM LABORATORIES LTD.,ALOE VERA GEL 75 %,50 GM GEL,GEL,Non-Scheduled,-1,242.00,4.84,Dec-2025
1521103656@354506@101195527@-1@101027@205177,MAIN,CAFUNE SHAMPOO 150 ML,TALENT INDIA,ALOE VERA SHAMPOO ,150 ML SHAMPOO,SHAMPOO,Non-Scheduled,-1,585.49,3.90,Dec-2025
1521103656@354506@101195527@-1@101027@205177,OTHER,DAFFY,MANKIND PHARMACEUTICALS LTD.,ALOE VERA SHAMPOO ,200,SHAMPOO,Non-Scheduled,-1,422.00,2.11,Dec-2025
1521103656@354506@101195527@-1@101027@205177,OTHER,DAFFY,MANKIND PHARMACEUTICALS LTD.,ALOE VERA SHAMPOO ,100,SHAMPOO,Non-Scheduled,-1,266.00,2.66,Dec-2025
1521133338@355400@101196152@-1@101019@205177,MAIN,DAFFY BABY LOTION 100 ML,MANKIND PHARMACEUTICALS LTD.,ALOE VERA LOTION ,100 ML LOTION,LOTION,Non-Scheduled,-1,350.00,3.50,Dec-2025
1521133338@355400@101196152@-1@101019@205177,OTHER,LOBIO,RHINE BIOGENICS PVT LTD,ALOE VERA LOTION ,100,LOTION,Non-Scheduled,-1,217.00,2.17,Dec-2025
1521133339@355401@101196152@-1@101019@205177,MAIN,DAFFY BABY LOTION 200 ML,MANKIND PHARMACEUTICALS LTD.,ALOE VERA LOTION ,200 ML LOTION,LOTION,Non-Scheduled,-1,600.00,3.00,Dec-2025
1521133339@355401@101196152@-1@101019@205177,OTHER,LOBIO,RHINE BIOGENICS PVT LTD,ALOE VERA LOTION ,100,LOTION,Non-Scheduled,-1,217.00,2.17,Dec-2025
1521133769@9999999320@101242306@-1@101027@205177,MAIN,DAFFY BABY SHAMPOO 100 ML,MANKIND PHARMACEUTICALS LTD.,ALOE VERA SHAMPOO ,100 ML SHAMPOO,SHAMPOO,Non-Scheduled,-1,266.00,2.66,Dec-2025
1521133769@9999999320@101242306@-1@101027@205177,OTHER,CAFUNE,TALENT INDIA,ALOE VERA SHAMPOO ,150,SHAMPOO,Non-Scheduled,-1,585.49,3.90,Dec-2025
1521135699@9999997663@101242306@-1@101027@205177,MAIN,DAFFY BABY SHAMPOO 200 ML,MANKIND PHARMACEUTICALS LTD.,ALOE VERA SHAMPOO ,200 ML SHAMPOO,SHAMPOO,Non-Scheduled,-1,422.00,2.11,Dec-2025
1521135699@9999997663@101242306@-1@101027@205177,OTHER,CAFUNE,TALENT INDIA,ALOE VERA SHAMPOO ,150,SHAMPOO,Non-Scheduled,-1,585.49,3.90,Dec-2025
1521014413@183293@101242306@-1@101108@205177,MAIN,DAFFY SOAP 75 GM,MANKIND PHARMACEUTICALS LTD.,ALOE VERA SOAP ,75 GM SOAP,SOAP,Non-Scheduled,-1,199.00,2.65,Dec-2025
1521014413@183293@101242306@-1@101108@205177,OTHER,MBACT,MONICHEM HEALTHCARE PVT LTD,ALOE VERA SOAP ,75,SOAP,Non-Scheduled,-1,115.68,1.54,Dec-2025
1521143791@219887@101234221@-1@101019@205177,MAIN,LOBIO TOUCH LOTION 100 ML,RHINE BIOGENICS PVT LTD,ALOE VERA LOTION ,100 ML LOTION,LOTION,Non-Scheduled,-1,217.00,2.17,Dec-2025
1521143791@219887@101234221@-1@101019@205177,OTHER,DAFFY,MANKIND PHARMACEUTICALS LTD.,ALOE VERA LOTION ,200,LOTION,Non-Scheduled,-1,600.00,3.00,Dec-2025
1521143791@219887@101234221@-1@101019@205177,OTHER,DAFFY,MANKIND PHARMACEUTICALS LTD.,ALOE VERA LOTION ,100,LOTION,Non-Scheduled,-1,350.00,3.50,Dec-2025
1521043152@202783@101146355@-1@101051@205177,MAIN,LOISTO FACEWASH 70 ML,DR. REDDYS LABORATORIES LTD,ALOE VERA FACEWASH ,70 ML FACEWASH,FACEWASH,Non-Scheduled,-1,252.00,3.60,Dec-2025
1521043152@202783@101146355@-1@101051@205177,OTHER,OZONE,OZONE PHARMACEUTICALS,ALOE VERA FACEWASH ,100,FACEWASH,Non-Scheduled,-1,125.00,1.25,Dec-2025
1521045923@179575@101149048@-1@101108@205177,MAIN,MBACT SOAP 75 GM,MONICHEM HEALTHCARE PVT LTD,ALOE VERA SOAP ,75 GM SOAP,SOAP,Non-Scheduled,-1,115.68,1.54,Dec-2025
1521045923@179575@101149048@-1@101108@205177,OTHER,DAFFY,MANKIND PHARMACEUTICALS LTD.,ALOE VERA SOAP ,75,SOAP,Non-Scheduled,-1,199.00,2.65,Dec-2025
1521158690@703765@101149405@-1@101101@205177,MAIN,MEGLOW ALOEVERA GEL 125 GM,LEEFORD HEALTHCARE,ALOE VERA GEL ,125 GM GEL,GEL,Non-Scheduled,-1,150.00,1.20,Dec-2025
1521158690@703765@101149405@-1@101101@205177,OTHER,PROMINENT,SMART LABORATORIES PVT LTD,ALOE VERA GEL ,75,GEL,Non-Scheduled,-1,80.00,1.07,Dec-2025
