HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521103554@354498@101195505@4295@101095@201644,MAIN,AMANTAD 129 MG TABLET ER 10,ICON LIFESCIENCES,AMANTADINE TABLET ER 129 MG,10 TABLET ER,TABLET ER,Non-Scheduled,-1,234.38,23.44,Dec-2025
1521103554@354498@101195505@4295@101095@201644,OTHER,PARKITIDIN,SUN PHARMA LABORATORIES LTD.,AMANTADINE TABLET ER 129 MG,10,TABLET ER,Non-Scheduled,-1,244.69,24.47,Dec-2025
1521103554@354498@101195505@4295@101095@201644,OTHER,AMANTREL,CIPLA LTD.,AMANTADINE TABLET ER 129 MG,10,TABLET ER,Non-Scheduled,-1,247.50,24.75,Dec-2025
1521103554@354498@101195505@4295@101095@201644,OTHER,AMANTEX,INTAS PHARMACEUTICALS LTD,AMANTADINE TABLET ER 129 MG,10,TABLET ER,Non-Scheduled,-1,271.88,27.19,Dec-2025
1521103539@354499@101195505@4314@101095@201644,MAIN,AMANTAD 193 MG TABLET ER 10,ICON LIFESCIENCES,AMANTADINE TABLET ER 193 MG,10 TABLET ER,TABLET ER,Non-Scheduled,-1,285.94,28.59,Dec-2025
1521103539@354499@101195505@4314@101095@201644,OTHER,PARKITIDIN,SUN PHARMA LABORATORIES LTD.,AMANTADINE TABLET ER 193 MG,10,TABLET ER,Non-Scheduled,-1,281.25,28.13,Dec-2025
1521103539@354499@101195505@4314@101095@201644,OTHER,AMANTEX,INTAS PHARMACEUTICALS LTD,AMANTADINE TABLET ER 193 MG,10,TABLET ER,Non-Scheduled,-1,299.06,29.91,Dec-2025
1521103539@354499@101195505@4314@101095@201644,OTHER,AMANTREL,CIPLA LTD.,AMANTADINE TABLET ER 193 MG,10,TABLET ER,Non-Scheduled,-1,299.06,29.91,Dec-2025
1521011213@288090@101111715@1846@101006@201644,MAIN,AMANTEX 100 MG TABLET 15,INTAS PHARMACEUTICALS LTD,AMANTADINE TABLET 100 MG,15 TABLET,TABLET,Non-Scheduled,-1,243.75,16.25,Dec-2025
1521011213@288090@101111715@1846@101006@201644,OTHER,AMANTIN,D.D PHARMACEUTICALS,AMANTADINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521011213@288090@101111715@1846@101006@201644,OTHER,COMANTREL,CONSERN PHARMA (P) LTD,AMANTADINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,140.63,14.06,Dec-2025
1521011213@288090@101111715@1846@101006@201644,OTHER,PARKITIDIN,SUN PHARMA LABORATORIES LTD.,AMANTADINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,164.06,16.41,Dec-2025
1521011213@288090@101111715@1846@101006@201644,OTHER,AMANTREL,CIPLA LTD.,AMANTADINE TABLET 100 MG,15,TABLET,Non-Scheduled,-1,277.33,18.49,Dec-2025
1521101916@353177@101111715@4295@101095@201644,MAIN,AMANTEX 129 MG TABLET ER 10,INTAS PHARMACEUTICALS LTD,AMANTADINE TABLET ER 129 MG,10 TABLET ER,TABLET ER,Non-Scheduled,-1,271.88,27.19,Dec-2025
1521101916@353177@101111715@4295@101095@201644,OTHER,AMANTAD,ICON LIFESCIENCES,AMANTADINE TABLET ER 129 MG,10,TABLET ER,Non-Scheduled,-1,234.38,23.44,Dec-2025
1521101916@353177@101111715@4295@101095@201644,OTHER,PARKITIDIN,SUN PHARMA LABORATORIES LTD.,AMANTADINE TABLET ER 129 MG,10,TABLET ER,Non-Scheduled,-1,244.69,24.47,Dec-2025
1521101916@353177@101111715@4295@101095@201644,OTHER,AMANTREL,CIPLA LTD.,AMANTADINE TABLET ER 129 MG,10,TABLET ER,Non-Scheduled,-1,247.50,24.75,Dec-2025
1521102051@353339@101111715@4314@101095@201644,MAIN,AMANTEX 193 MG TABLET ER 10,INTAS PHARMACEUTICALS LTD,AMANTADINE TABLET ER 193 MG,10 TABLET ER,TABLET ER,Non-Scheduled,-1,299.06,29.91,Dec-2025
1521102051@353339@101111715@4314@101095@201644,OTHER,PARKITIDIN,SUN PHARMA LABORATORIES LTD.,AMANTADINE TABLET ER 193 MG,10,TABLET ER,Non-Scheduled,-1,281.25,28.13,Dec-2025
1521102051@353339@101111715@4314@101095@201644,OTHER,AMANTAD,ICON LIFESCIENCES,AMANTADINE TABLET ER 193 MG,10,TABLET ER,Non-Scheduled,-1,285.94,28.59,Dec-2025
1521102051@353339@101111715@4314@101095@201644,OTHER,AMANTREL,CIPLA LTD.,AMANTADINE TABLET ER 193 MG,10,TABLET ER,Non-Scheduled,-1,299.06,29.91,Dec-2025
1521103360@353651@101195231@1846@101006@201644,MAIN,AMANTIN 100 MG TABLET 10,D.D PHARMACEUTICALS,AMANTADINE TABLET 100 MG,10 TABLET,TABLET,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521103360@353651@101195231@1846@101006@201644,OTHER,COMANTREL,CONSERN PHARMA (P) LTD,AMANTADINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,140.63,14.06,Dec-2025
1521103360@353651@101195231@1846@101006@201644,OTHER,AMANTEX,INTAS PHARMACEUTICALS LTD,AMANTADINE TABLET 100 MG,15,TABLET,Non-Scheduled,-1,243.75,16.25,Dec-2025
1521103360@353651@101195231@1846@101006@201644,OTHER,PARKITIDIN,SUN PHARMA LABORATORIES LTD.,AMANTADINE TABLET 100 MG,10,TABLET,Non-Scheduled,-1,164.06,16.41,Dec-2025
1521103360@353651@101195231@1846@101006@201644,OTHER,AMANTREL,CIPLA LTD.,AMANTADINE TABLET 100 MG,15,TABLET,Non-Scheduled,-1,277.33,18.49,Dec-2025
1521008612@190318@101104556@1846@101006@201644,MAIN,AMANTREL 100 MG TABLET 15,CIPLA LTD.,AMANTADINE TABLET 100 MG,15 TABLET,TABLET,Non-Scheduled,-1,277.33,18.49,Dec-2025
