HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521004728@257990@101247359@3460@101006@201101,MAIN,ALIZAP 30 MG TABLET 10,OAKNET HEALTHCARE,APREMILAST TABLET 30 MG,10 TABLET,TABLET,Non-Scheduled,-1,311.66,31.17,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,APLEX (AJANTA),AJANTA PHARMA LTD,APREMILAST TABLET 30 MG,13,TABLET,Non-Scheduled,-1,195.00,15.00,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,APRETAS,INTAS PHARMACEUTICALS LTD,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,168.75,16.88,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,APREMIST,CORONA,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,206.25,20.63,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,ARTHLAST,WALLACE PHARMACEUTICALS LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,250.00,25.00,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,MPRILA,VIATRIS,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,255.90,25.59,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,PRAVY,DR. REDDYS LABORATORIES LTD,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,275.00,27.50,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,APRENEXT,LINUX LABORATORIES,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,289.65,28.97,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,RIASIS,ZYDUS HEALTHCARE LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,302.50,30.25,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,APXENTA,AJANTA PHARMA LTD,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,305.63,30.56,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,APREZO,GLENMARK PHARMACEUTICALS LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,333.75,33.38,Dec-2025
1521004728@257990@101247359@3460@101006@201101,OTHER,APRAIZE,IPCA LABORATORIES PVT LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,334.97,33.50,Dec-2025
1521012026@276336@101109887@3460@101006@201101,MAIN,APLEX (AJANTA) KIT 30 MG TABLET 13,AJANTA PHARMA LTD,APREMILAST TABLET 30 MG,13 TABLET,TABLET,Non-Scheduled,-1,195.00,15.00,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,APRETAS,INTAS PHARMACEUTICALS LTD,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,168.75,16.88,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,APREMIST,CORONA,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,206.25,20.63,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,ARTHLAST,WALLACE PHARMACEUTICALS LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,250.00,25.00,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,MPRILA,VIATRIS,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,255.90,25.59,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,PRAVY,DR. REDDYS LABORATORIES LTD,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,275.00,27.50,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,APRENEXT,LINUX LABORATORIES,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,289.65,28.97,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,RIASIS,ZYDUS HEALTHCARE LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,302.50,30.25,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,APXENTA,AJANTA PHARMA LTD,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,305.63,30.56,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,ALIZAP,OAKNET HEALTHCARE,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,311.66,31.17,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,APREZO,GLENMARK PHARMACEUTICALS LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,333.75,33.38,Dec-2025
1521012026@276336@101109887@3460@101006@201101,OTHER,APRAIZE,IPCA LABORATORIES PVT LTD.,APREMILAST TABLET 30 MG,10,TABLET,Non-Scheduled,-1,334.97,33.50,Dec-2025
1521003149@283046@101106672@2107@101006@201101,MAIN,APRAIZE 10 MG TABLET 4,IPCA LABORATORIES PVT LTD.,APREMILAST TABLET 10 MG,4 TABLET,TABLET,Non-Scheduled,-1,89.67,22.42,Dec-2025
1521003149@283046@101106672@2107@101006@201101,OTHER,AUPOZE,AURUM LIFE SCIENCE PVT. LTD.,APREMILAST TABLET 10 MG,10,TABLET,Non-Scheduled,-1,66.25,6.63,Dec-2025
1521003149@283046@101106672@2107@101006@201101,OTHER,APRETAS,INTAS PHARMACEUTICALS LTD,APREMILAST TABLET 10 MG,4,TABLET,Non-Scheduled,-1,45.00,11.25,Dec-2025
1521003149@283046@101106672@2107@101006@201101,OTHER,APXENTA,AJANTA PHARMA LTD,APREMILAST TABLET 10 MG,10,TABLET,Non-Scheduled,-1,193.13,19.31,Dec-2025
1521003149@283046@101106672@2107@101006@201101,OTHER,APREZO,GLENMARK PHARMACEUTICALS LTD.,APREMILAST TABLET 10 MG,4,TABLET,Non-Scheduled,-1,106.88,26.72,Dec-2025
1521156014@700366@101106672@3049@101006@201101,MAIN,APRAIZE 20 MG TABLET 10,IPCA LABORATORIES PVT LTD.,APREMILAST TABLET 20 MG,10 TABLET,TABLET,Non-Scheduled,-1,113.44,11.34,Dec-2025
1521156014@700366@101106672@3049@101006@201101,OTHER,APRETAS,INTAS PHARMACEUTICALS LTD,APREMILAST TABLET 20 MG,4,TABLET,Non-Scheduled,-1,56.25,14.06,Dec-2025
1521156014@700366@101106672@3049@101006@201101,OTHER,APXENTA,AJANTA PHARMA LTD,APREMILAST TABLET 20 MG,10,TABLET,Non-Scheduled,-1,200.00,20.00,Dec-2025
1521156014@700366@101106672@3049@101006@201101,OTHER,APREZO,GLENMARK PHARMACEUTICALS LTD.,APREMILAST TABLET 20 MG,4,TABLET,Non-Scheduled,-1,117.65,29.41,Dec-2025
1521156014@700366@101106672@3049@101006@201101,OTHER,APREZO,GLENMARK PHARMACEUTICALS LTD.,APREMILAST TABLET 20 MG,10,TABLET,Non-Scheduled,-1,309.38,30.94,Dec-2025
1521014724@283047@101106672@3049@101006@201101,MAIN,APRAIZE 20 MG TABLET 4,IPCA LABORATORIES PVT LTD.,APREMILAST TABLET 20 MG,4 TABLET,TABLET,Non-Scheduled,-1,113.44,28.36,Dec-2025
1521014724@283047@101106672@3049@101006@201101,OTHER,APRETAS,INTAS PHARMACEUTICALS LTD,APREMILAST TABLET 20 MG,4,TABLET,Non-Scheduled,-1,56.25,14.06,Dec-2025
1521014724@283047@101106672@3049@101006@201101,OTHER,APXENTA,AJANTA PHARMA LTD,APREMILAST TABLET 20 MG,10,TABLET,Non-Scheduled,-1,200.00,20.00,Dec-2025
1521014724@283047@101106672@3049@101006@201101,OTHER,APREZO,GLENMARK PHARMACEUTICALS LTD.,APREMILAST TABLET 20 MG,4,TABLET,Non-Scheduled,-1,117.65,29.41,Dec-2025
