HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521006357@319618@101110291@1552@101103@202787,MAIN,ADBROM FREE 0.9 MG EYE DROPS 5 ML,ENTOD PHARMACEUTICALS LTD,BROMFENAC EYE DROPS 0.9 MG,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,169.69,33.94,Dec-2025
1521006357@319618@101110291@1552@101103@202787,OTHER,IBROM,NRI VISION CARE,BROMFENAC EYE DROPS 0.9 MG,5,EYE DROPS,Non-Scheduled,-1,101.25,20.25,Dec-2025
1521006357@319618@101110291@1552@101103@202787,OTHER,BROMVUE (IPCA),IPCA LABORATORIES PVT LTD.,BROMFENAC EYE DROPS 0.9 MG,5,EYE DROPS,Non-Scheduled,-1,193.17,38.63,Dec-2025
1521007493@165296@101104147@1145@101103@202787,MAIN,BFN 0.09 % EYE DROPS 5 ML,MICRO LABS LTD,BROMFENAC EYE DROPS 0.09 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,140.00,28.00,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,TAKFENAC,PHARMTAK,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,79.69,15.94,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,RAYBROM,RAYMED PHARMACEUTICALS PVT. LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,113.44,22.69,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,BRAG,SAPIENT,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,126.56,25.31,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,FENAC,PHOENIX LIFESCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,141.00,28.20,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,BRONAC(SYNOVIA),SYNOVIA LIFE SCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,159.38,31.88,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,NAVIBROM,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,161.25,32.25,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,BROMFLAM,INTAS PHARMACEUTICALS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,BROMIFEN,OPTHO REMEDIES PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,BROMVUE,BAUSH & LOMB,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,193.17,38.63,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,MEGABROM,SUN PHARMA LABORATORIES LTD.,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,200.63,40.13,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,UNIBROM,AJANTA PHARMA LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,218.44,43.69,Dec-2025
1521007493@165296@101104147@1145@101103@202787,OTHER,NAVIONCE,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,2,EYE DROPS,Non-Scheduled,-1,189.38,63.13,Dec-2025
1521008394@208847@101105164@1145@101103@202787,MAIN,BRAG 0.09 % EYE DROPS 5 ML,SAPIENT,BROMFENAC EYE DROPS 0.09 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,126.56,25.31,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,TAKFENAC,PHARMTAK,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,79.69,15.94,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,RAYBROM,RAYMED PHARMACEUTICALS PVT. LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,113.44,22.69,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,BFN,MICRO LABS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,140.00,28.00,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,FENAC,PHOENIX LIFESCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,141.00,28.20,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,BRONAC(SYNOVIA),SYNOVIA LIFE SCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,159.38,31.88,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,NAVIBROM,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,161.25,32.25,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,BROMFLAM,INTAS PHARMACEUTICALS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,BROMIFEN,OPTHO REMEDIES PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,BROMVUE,BAUSH & LOMB,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,193.17,38.63,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,MEGABROM,SUN PHARMA LABORATORIES LTD.,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,200.63,40.13,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,UNIBROM,AJANTA PHARMA LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,218.44,43.69,Dec-2025
1521008394@208847@101105164@1145@101103@202787,OTHER,NAVIONCE,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,2,EYE DROPS,Non-Scheduled,-1,189.38,63.13,Dec-2025
1521000153@295275@101100146@1145@101103@202787,MAIN,BROMFLAM 0.09 % EYE DROPS 5 ML,INTAS PHARMACEUTICALS LTD,BROMFENAC EYE DROPS 0.09 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,TAKFENAC,PHARMTAK,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,79.69,15.94,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,RAYBROM,RAYMED PHARMACEUTICALS PVT. LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,113.44,22.69,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,BRAG,SAPIENT,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,126.56,25.31,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,BFN,MICRO LABS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,140.00,28.00,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,FENAC,PHOENIX LIFESCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,141.00,28.20,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,BRONAC(SYNOVIA),SYNOVIA LIFE SCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,159.38,31.88,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,NAVIBROM,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,161.25,32.25,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,BROMIFEN,OPTHO REMEDIES PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,BROMVUE,BAUSH & LOMB,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,193.17,38.63,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,MEGABROM,SUN PHARMA LABORATORIES LTD.,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,200.63,40.13,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,UNIBROM,AJANTA PHARMA LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,218.44,43.69,Dec-2025
1521000153@295275@101100146@1145@101103@202787,OTHER,NAVIONCE,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,2,EYE DROPS,Non-Scheduled,-1,189.38,63.13,Dec-2025
1521000306@153008@101100324@1145@101103@202787,MAIN,BROMIFEN 0.09 % EYE DROPS 5 ML,OPTHO REMEDIES PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,TAKFENAC,PHARMTAK,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,79.69,15.94,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,RAYBROM,RAYMED PHARMACEUTICALS PVT. LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,113.44,22.69,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,BRAG,SAPIENT,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,126.56,25.31,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,BFN,MICRO LABS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,140.00,28.00,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,FENAC,PHOENIX LIFESCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,141.00,28.20,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,BRONAC(SYNOVIA),SYNOVIA LIFE SCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,159.38,31.88,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,NAVIBROM,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,161.25,32.25,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,BROMFLAM,INTAS PHARMACEUTICALS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,BROMVUE,BAUSH & LOMB,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,193.17,38.63,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,MEGABROM,SUN PHARMA LABORATORIES LTD.,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,200.63,40.13,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,UNIBROM,AJANTA PHARMA LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,218.44,43.69,Dec-2025
1521000306@153008@101100324@1145@101103@202787,OTHER,NAVIONCE,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,2,EYE DROPS,Non-Scheduled,-1,189.38,63.13,Dec-2025
1521137693@198273@101229366@1145@101103@202787,MAIN,BROMVUE 0.09 % EYE DROPS 5 ML,BAUSH & LOMB,BROMFENAC EYE DROPS 0.09 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,193.17,38.63,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,TAKFENAC,PHARMTAK,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,79.69,15.94,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,RAYBROM,RAYMED PHARMACEUTICALS PVT. LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,113.44,22.69,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,BRAG,SAPIENT,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,126.56,25.31,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,BFN,MICRO LABS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,140.00,28.00,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,FENAC,PHOENIX LIFESCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,141.00,28.20,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,BRONAC(SYNOVIA),SYNOVIA LIFE SCIENCES,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,159.38,31.88,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,NAVIBROM,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,161.25,32.25,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,BROMFLAM,INTAS PHARMACEUTICALS LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,BROMIFEN,OPTHO REMEDIES PVT.LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,180.00,36.00,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,MEGABROM,SUN PHARMA LABORATORIES LTD.,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,200.63,40.13,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,UNIBROM,AJANTA PHARMA LTD,BROMFENAC EYE DROPS 0.09 %,5,EYE DROPS,Non-Scheduled,-1,218.44,43.69,Dec-2025
1521137693@198273@101229366@1145@101103@202787,OTHER,NAVIONCE,SENTISS PHARMA PVT.LTD,BROMFENAC EYE DROPS 0.09 %,2,EYE DROPS,Non-Scheduled,-1,189.38,63.13,Dec-2025
1521000329@315854@101100341@1552@101103@202787,MAIN,BROMVUE (IPCA) 0.9 MG EYE DROPS 5 ML,IPCA LABORATORIES PVT LTD.,BROMFENAC EYE DROPS 0.9 MG,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,193.17,38.63,Dec-2025
1521000329@315854@101100341@1552@101103@202787,OTHER,IBROM,NRI VISION CARE,BROMFENAC EYE DROPS 0.9 MG,5,EYE DROPS,Non-Scheduled,-1,101.25,20.25,Dec-2025
