HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521011792@282753@101245750@1406@101027@201095,MAIN,AVYNZIA 0.5 % SHAMPOO 200 ML,ZYDUS - BIOLOGICS,COAL TAR SHAMPOO 0.5 %,200 ML SHAMPOO,SHAMPOO,Non-Scheduled,-1,1700.00,8.50,Dec-2025
1521060982@179521@101119828@-1@101108@201095,MAIN,COSALIC SOAP 100 GM,SALVE PHARMACEUTICALS PVT LTD,COAL TAR SOAP ,100 GM SOAP,SOAP,Non-Scheduled,-1,96.12,0.96,Dec-2025
1521060982@179521@101119828@-1@101108@201095,OTHER,SALYTAR T,MENARINI INDIA,COAL TAR SOAP ,100,SOAP,Non-Scheduled,-1,74.75,0.75,Dec-2025
1521060982@179521@101119828@-1@101108@201095,OTHER,QUTAR,ZEE LABORATORIES,COAL TAR SOAP ,75,SOAP,Non-Scheduled,-1,60.00,0.80,Dec-2025
1521024366@202431@101129174@1406@101108@201095,MAIN,ETHITAR 0.5 % SOAP 75 GM,ETHINEXT PHARMA PVT.LTD,COAL TAR SOAP 0.5 %,75 GM SOAP,SOAP,Non-Scheduled,-1,71.18,0.95,Dec-2025
1521107820@55436@101247601@1553@101019@201095,MAIN,EXOREX 1 % LOTION 100 ML,RANBAXY LABORATORIES LTD,COAL TAR LOTION 1 %,100 ML LOTION,LOTION,Non-Scheduled,-1,192.48,1.92,Dec-2025
1521107820@55436@101247601@1553@101019@201095,OTHER,ULTITAR CS,PERCOS INDIA PVT. LTD.,COAL TAR LOTION 1 %,100,LOTION,Non-Scheduled,-1,561.56,5.62,Dec-2025
1521062175@225780@101164942@3904@101019@201095,MAIN,PLAINTAR 66.5 % LOTION 100 ML,SALVE PHARMACEUTICALS PVT LTD,COAL TAR LOTION 66.5 %,100 ML LOTION,LOTION,Non-Scheduled,-1,229.00,2.29,Dec-2025
1521137518@150440@101237194@-1@101028@201095,MAIN,PSORATAR CREAM 100 GM,PARKER ROBINSON PVT. LTD,COAL TAR CREAM ,100 GM CREAM,CREAM,Non-Scheduled,-1,304.69,3.05,Dec-2025
1521137349@121342@101237194@-1@101028@201095,MAIN,PSORATAR CREAM 15 GM,PARKER ROBINSON PVT. LTD,COAL TAR CREAM ,15 GM CREAM,CREAM,Non-Scheduled,-1,192.19,12.81,Dec-2025
1521141780@115068@101237291@-1@101019@201095,MAIN,QUTAR LOTION 100 ML,ZEE LABORATORIES,COAL TAR LOTION ,100 ML LOTION,LOTION,Non-Scheduled,-1,110.00,1.10,Dec-2025
1521141780@115068@101237291@-1@101019@201095,OTHER,ULTITAR,PERCOS INDIA PVT. LTD.,COAL TAR LOTION ,100,LOTION,Non-Scheduled,-1,230.00,2.30,Dec-2025
1521155187@293261@101237291@-1@101108@201095,MAIN,QUTAR SOAP 75,ZEE LABORATORIES,COAL TAR SOAP ,75 SOAP,SOAP,Non-Scheduled,-1,60.00,0.80,Dec-2025
1521155187@293261@101237291@-1@101108@201095,OTHER,SALYTAR T,MENARINI INDIA,COAL TAR SOAP ,100,SOAP,Non-Scheduled,-1,74.75,0.75,Dec-2025
1521155187@293261@101237291@-1@101108@201095,OTHER,COSALIC,SALVE PHARMACEUTICALS PVT LTD,COAL TAR SOAP ,100,SOAP,Non-Scheduled,-1,96.12,0.96,Dec-2025
1521000402@169033@101100422@-1@101108@201095,MAIN,SALYTAR T SOAP 100 GM,MENARINI INDIA,COAL TAR SOAP ,100 GM SOAP,SOAP,Non-Scheduled,-1,74.75,0.75,Dec-2025
1521000402@169033@101100422@-1@101108@201095,OTHER,QUTAR,ZEE LABORATORIES,COAL TAR SOAP ,75,SOAP,Non-Scheduled,-1,60.00,0.80,Dec-2025
1521000402@169033@101100422@-1@101108@201095,OTHER,COSALIC,SALVE PHARMACEUTICALS PVT LTD,COAL TAR SOAP ,100,SOAP,Non-Scheduled,-1,96.12,0.96,Dec-2025
1521142783@192254@101238123@3594@101019@201095,MAIN,SCALNEX -CT SCALP 4 % LOTION 50 ML,PRETIUM PHARMACEUTICALS,COAL TAR LOTION 4 %,50 ML LOTION,LOTION,Non-Scheduled,-1,264.38,5.29,Dec-2025
1521080368@182659@101180957@1553@101019@201095,MAIN,ULTITAR CS 1 % LOTION 100 ML,PERCOS INDIA PVT. LTD.,COAL TAR LOTION 1 %,100 ML LOTION,LOTION,Non-Scheduled,-1,561.56,5.62,Dec-2025
1521080368@182659@101180957@1553@101019@201095,OTHER,EXOREX,RANBAXY LABORATORIES LTD,COAL TAR LOTION 1 %,100,LOTION,Non-Scheduled,-1,192.48,1.92,Dec-2025
1521080369@182660@101180958@-1@101019@201095,MAIN,ULTITAR LOTION 100 ML,PERCOS INDIA PVT. LTD.,COAL TAR LOTION ,100 ML LOTION,LOTION,Non-Scheduled,-1,230.00,2.30,Dec-2025
1521080369@182660@101180958@-1@101019@201095,OTHER,QUTAR,ZEE LABORATORIES,COAL TAR LOTION ,100,LOTION,Non-Scheduled,-1,110.00,1.10,Dec-2025
