HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521011082@99653@101111583@3378@101126@208185,MAIN,ABITOL 2 MG SYRUP 200 ML,LINCOLN PHARMACEUTICALS LTD,CYPROHEPTADINE SYRUP 2 MG,200 ML SYRUP,SYRUP,Non-Scheduled,-1,86.90,0.43,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,CYWIN,PHARMTAK,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,58.42,0.29,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,LUPACTIN,LUPIN LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,76.65,0.38,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,LYCIP,M.D.C. PHARMACEUTICALS (P) LTD.,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,98.44,0.49,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,CYPTAN,KIVI LABS LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,115.31,0.58,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,TANGRIDINE,EL-DORADO BIO-TECH PVT LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,117.56,0.59,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,ADD APP,CADILA PHARMACEUTICALS LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,138.66,0.69,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,TUK TUK,AARPIK REMEDIES PVT.LTD.,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,138.47,0.69,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,CIPLACTIN,CIPLA LTD.,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,145.07,0.73,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,HILIV,TAURUS LABORATORIES PVT LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,145.31,0.73,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,APEAT,COLINZ LABORATORIES LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,150.00,0.75,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,RARRITOL,K.C LABORATORIES,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,154.69,0.77,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,MACTROL,MACMILLON PHARMACEUTICALS,CYPROHEPTADINE SYRUP 2 MG,100,SYRUP,Non-Scheduled,-1,81.00,0.81,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,PRACTIN,DR. REDDYS LABORATORIES LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,164.30,0.82,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,HUNGREE (LABO),LABORATE PHARMACEUTICAL LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,165.00,0.83,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,NEOPEDINE,RAPTAKOS BRETT & CO. LTD.,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,167.00,0.84,Dec-2025
1521011082@99653@101111583@3378@101126@208185,OTHER,APETAMIN,TABLETS INDIA LTD,CYPROHEPTADINE SYRUP 2 MG,200,SYRUP,Non-Scheduled,-1,184.68,0.92,Dec-2025
1521011089@96881@101111583@3708@101006@208185,MAIN,ABITOL 4 MG TABLET 10,LINCOLN PHARMACEUTICALS LTD,CYPROHEPTADINE TABLET 4 MG,10 TABLET,TABLET,Non-Scheduled,-1,15.08,1.51,Dec-2025
1521011089@96881@101111583@3708@101006@208185,OTHER,CYPRODOL,EAST WEST PHARMA,CYPROHEPTADINE TABLET 4 MG,10,TABLET,Non-Scheduled,-1,9.85,0.99,Dec-2025
1521011089@96881@101111583@3708@101006@208185,OTHER,APPLACTIN,INTAS PHARMACEUTICALS LTD,CYPROHEPTADINE TABLET 4 MG,10,TABLET,Non-Scheduled,-1,15.75,1.58,Dec-2025
1521011089@96881@101111583@3708@101006@208185,OTHER,ADD APP,CADILA PHARMACEUTICALS LTD,CYPROHEPTADINE TABLET 4 MG,10,TABLET,Non-Scheduled,-1,16.40,1.64,Dec-2025
