HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521014394@220165@101246051@3879@101006@201633,MAIN,DACIHEP 60 MG TABLET 28,ZYDUS HEALTHCARE LTD.,DACLATASVIR TABLET 60 MG,28 TABLET,TABLET,Scheduled,203.45,5255.60,187.70,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,NATDAC,NATCO PHARMA LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,3281.25,117.19,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,MYDACLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.00,187.68,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,DACLAHEP,HETERO HEALTHCARE LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.50,199.73,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,HEPCFIX,DR. REDDYS LABORATORIES LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.70,199.74,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,MYDEKLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5606.00,200.21,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,DACLACURE,EMCURE PHARMACEUTICALS LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5878.82,209.96,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,HEPCDAC,CIPLA LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,6250.00,223.21,Dec-2025
1521014394@220165@101246051@3879@101006@201633,OTHER,DALSICLEAR,ABBOTT INDIA LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,7260.00,259.29,Dec-2025
1521138187@244113@101121490@3460@101006@201633,MAIN,DACLACURE 30 MG TABLET 28,EMCURE PHARMACEUTICALS LTD,DACLATASVIR TABLET 30 MG,28 TABLET,TABLET,Scheduled,-1,4000.00,142.86,Dec-2025
1521014397@225022@101121490@3879@101006@201633,MAIN,DACLACURE 60 MG TABLET 28,EMCURE PHARMACEUTICALS LTD,DACLATASVIR TABLET 60 MG,28 TABLET,TABLET,Scheduled,203.45,5878.82,209.96,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,NATDAC,NATCO PHARMA LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,3281.25,117.19,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,MYDACLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.00,187.68,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,DACIHEP,ZYDUS HEALTHCARE LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.60,187.70,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,DACLAHEP,HETERO HEALTHCARE LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.50,199.73,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,HEPCFIX,DR. REDDYS LABORATORIES LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.70,199.74,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,MYDEKLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5606.00,200.21,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,HEPCDAC,CIPLA LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,6250.00,223.21,Dec-2025
1521014397@225022@101121490@3879@101006@201633,OTHER,DALSICLEAR,ABBOTT INDIA LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,7260.00,259.29,Dec-2025
1521014399@221800@101121492@3879@101006@201633,MAIN,DACLAHEP 60 MG TABLET 28,HETERO HEALTHCARE LTD,DACLATASVIR TABLET 60 MG,28 TABLET,TABLET,Scheduled,203.45,5592.50,199.73,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,NATDAC,NATCO PHARMA LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,3281.25,117.19,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,MYDACLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.00,187.68,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,DACIHEP,ZYDUS HEALTHCARE LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.60,187.70,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,HEPCFIX,DR. REDDYS LABORATORIES LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.70,199.74,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,MYDEKLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5606.00,200.21,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,DACLACURE,EMCURE PHARMACEUTICALS LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5878.82,209.96,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,HEPCDAC,CIPLA LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,6250.00,223.21,Dec-2025
1521014399@221800@101121492@3879@101006@201633,OTHER,DALSICLEAR,ABBOTT INDIA LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,7260.00,259.29,Dec-2025
1521092306@222305@101121572@3879@101006@201633,MAIN,DALSICLEAR 60 MG TABLET 28,ABBOTT INDIA LTD.,DACLATASVIR TABLET 60 MG,28 TABLET,TABLET,Scheduled,203.45,7260.00,259.29,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,NATDAC,NATCO PHARMA LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,3281.25,117.19,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,MYDACLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.00,187.68,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,DACIHEP,ZYDUS HEALTHCARE LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.60,187.70,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,DACLAHEP,HETERO HEALTHCARE LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.50,199.73,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,HEPCFIX,DR. REDDYS LABORATORIES LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.70,199.74,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,MYDEKLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5606.00,200.21,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,DACLACURE,EMCURE PHARMACEUTICALS LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5878.82,209.96,Dec-2025
1521092306@222305@101121572@3879@101006@201633,OTHER,HEPCDAC,CIPLA LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,6250.00,223.21,Dec-2025
1521034556@221472@101137771@3879@101006@201633,MAIN,HEPCDAC 60 MG TABLET 28,CIPLA LTD.,DACLATASVIR TABLET 60 MG,28 TABLET,TABLET,Scheduled,203.45,6250.00,223.21,Dec-2025
1521034556@221472@101137771@3879@101006@201633,OTHER,NATDAC,NATCO PHARMA LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,3281.25,117.19,Dec-2025
1521034556@221472@101137771@3879@101006@201633,OTHER,MYDACLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.00,187.68,Dec-2025
1521034556@221472@101137771@3879@101006@201633,OTHER,DACIHEP,ZYDUS HEALTHCARE LTD.,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5255.60,187.70,Dec-2025
1521034556@221472@101137771@3879@101006@201633,OTHER,DACLAHEP,HETERO HEALTHCARE LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.50,199.73,Dec-2025
1521034556@221472@101137771@3879@101006@201633,OTHER,HEPCFIX,DR. REDDYS LABORATORIES LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5592.70,199.74,Dec-2025
1521034556@221472@101137771@3879@101006@201633,OTHER,MYDEKLA,VIATRIS,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5606.00,200.21,Dec-2025
1521034556@221472@101137771@3879@101006@201633,OTHER,DACLACURE,EMCURE PHARMACEUTICALS LTD,DACLATASVIR TABLET 60 MG,28,TABLET,Scheduled,203.45,5878.82,209.96,Dec-2025
