HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521089018@315323@101103102@1846@101006@201813,MAIN,ALSATINIB 100 MG TABLET 30,ALKEM LABORATORIES LTD.,DASATINIB TABLET 100 MG,30 TABLET,TABLET,Non-Scheduled,-1,2899.00,96.63,Dec-2025
1521089018@315323@101103102@1846@101006@201813,OTHER,SPNIB,ZYDUS - BIOLOGICS,DASATINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,3188.40,106.28,Dec-2025
1521089018@315323@101103102@1846@101006@201813,OTHER,DASLEMIA,INTAS PHARMACEUTICALS LTD,DASATINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,3510.94,117.03,Dec-2025
1521089018@315323@101103102@1846@101006@201813,OTHER,DASAMYL,VIATRIS,DASATINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,3850.44,128.35,Dec-2025
1521089018@315323@101103102@1846@101006@201813,OTHER,INVISTA,DR. REDDYS LABORATORIES LTD,DASATINIB TABLET 100 MG,10,TABLET,Non-Scheduled,-1,1370.62,137.06,Dec-2025
1521089018@315323@101103102@1846@101006@201813,OTHER,DASHORI,TORRENT PHARMACEUTICALS LTD.,DASATINIB TABLET 100 MG,30,TABLET,Non-Scheduled,-1,8345.00,278.17,Dec-2025
1521089002@315325@101103102@3049@101006@201813,MAIN,ALSATINIB 20 MG TABLET 60,ALKEM LABORATORIES LTD.,DASATINIB TABLET 20 MG,60 TABLET,TABLET,Non-Scheduled,-1,2812.50,46.88,Dec-2025
1521089002@315325@101103102@3049@101006@201813,OTHER,SPNIB,ZYDUS - BIOLOGICS,DASATINIB TABLET 20 MG,60,TABLET,Non-Scheduled,-1,1095.00,18.25,Dec-2025
1521089002@315325@101103102@3049@101006@201813,OTHER,DASANAT,NATCO PHARMA LTD,DASATINIB TABLET 20 MG,60,TABLET,Non-Scheduled,-1,2812.50,46.88,Dec-2025
1521087903@315324@101103102@3791@101006@201813,MAIN,ALSATINIB 50 MG TABLET 60,ALKEM LABORATORIES LTD.,DASATINIB TABLET 50 MG,60 TABLET,TABLET,Non-Scheduled,-1,6964.28,116.07,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASACAD,CADILA PHARMACEUTICALS LTD,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,3128.75,52.15,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,SPNIB,ZYDUS - BIOLOGICS,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,3503.40,58.39,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASLEMIA,INTAS PHARMACEUTICALS LTD,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,3510.94,58.52,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASAMYL,VIATRIS,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,3850.45,64.17,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,INVISTA,DR. REDDYS LABORATORIES LTD,DASATINIB TABLET 50 MG,10,TABLET,Non-Scheduled,-1,685.31,68.53,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASANAT,NATCO PHARMA LTD,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,6093.75,101.56,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASAPAN,MANKIND PHARMACEUTICALS LTD.,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,6500.00,108.33,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASATRUE,CIPLA LTD.,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,6703.12,111.72,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASHORI,TORRENT PHARMACEUTICALS LTD.,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,8767.00,146.12,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DASTILA,SUN PHARMA LABORATORIES LTD.,DASATINIB TABLET 50 MG,12,TABLET,Non-Scheduled,-1,2398.00,199.83,Dec-2025
1521087903@315324@101103102@3791@101006@201813,OTHER,DYRONIB,HETERO HEALTHCARE LTD,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,12187.00,203.12,Dec-2025
1521014226@315283@101121724@3791@101006@201813,MAIN,DASACAD 50 MG TABLET 60,CADILA PHARMACEUTICALS LTD,DASATINIB TABLET 50 MG,60 TABLET,TABLET,Non-Scheduled,-1,3128.75,52.15,Dec-2025
1521014226@315283@101121724@3791@101006@201813,OTHER,SPNIB,ZYDUS - BIOLOGICS,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,3503.40,58.39,Dec-2025
1521014226@315283@101121724@3791@101006@201813,OTHER,DASLEMIA,INTAS PHARMACEUTICALS LTD,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,3510.94,58.52,Dec-2025
1521014226@315283@101121724@3791@101006@201813,OTHER,DASAMYL,VIATRIS,DASATINIB TABLET 50 MG,60,TABLET,Non-Scheduled,-1,3850.45,64.17,Dec-2025
1521014226@315283@101121724@3791@101006@201813,OTHER,INVISTA,DR. REDDYS LABORATORIES LTD,DASATINIB TABLET 50 MG,10,TABLET,Non-Scheduled,-1,685.31,68.53,Dec-2025
