HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521148749@313839@101228917@-1@101076@200402,MAIN,BABYDONE DROPS 10 ML,OLCARE LTD,DOMPERIDONE DROPS ,10 ML DROPS,DROPS,Non-Scheduled,-1,43.46,4.35,Dec-2025
1521148749@313839@101228917@-1@101076@200402,OTHER,DOMPED,STRIDES SHASUN LIMITED,DOMPERIDONE DROPS ,30,DROPS,Non-Scheduled,-1,31.42,1.05,Dec-2025
1521148760@313840@101228917@-1@101091@200402,MAIN,BABYDONE SUSPENSION 30 ML,OLCARE LTD,DOMPERIDONE SUSPENSION ,30 ML SUSPENSION,SUSPENSION,Non-Scheduled,-1,29.96,1.00,Dec-2025
1521148760@313840@101228917@-1@101091@200402,OTHER,PEDIDOM,ZUVENTUS HEALTHCARE LTD,DOMPERIDONE SUSPENSION ,30,SUSPENSION,Non-Scheduled,-1,26.00,0.87,Dec-2025
1521113655@99398@101229939@2107@101006@200402,MAIN,CEZVOM 10 MG TABLET 10,NOVARTIS INDIA LTD,DOMPERIDONE TABLET 10 MG,10 TABLET,TABLET,Scheduled,2.35,24.37,2.44,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,DOMPON,FINECURE PHARMACEUTICALS,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,19.76,1.98,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,GASIDOM,EAST WEST PHARMA,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,21.15,2.12,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,MOTILIUM M,JANSSEN,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,21.56,2.16,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,GASTRACTIV,JANSSEN,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,23.00,2.30,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,MOTIDOM,TAS MED (INDIA) PRIVATE LTD.,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,24.05,2.41,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,VOMISTOP,CIPLA LTD.,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,24.25,2.43,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,DOM,MOREPEN LABORATORIES LIMITED,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,24.68,2.47,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,DOMIPEN,MOREPEN LABORATORIES LIMITED,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,24.67,2.47,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,DOMSTAL,TORRENT PHARMACEUTICALS LTD.,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,24.66,2.47,Dec-2025
1521113655@99398@101229939@2107@101006@200402,OTHER,DOMPERIDONE (RANBAXY),RANBAXY LABORATORIES LTD,DOMPERIDONE TABLET 10 MG,10,TABLET,Scheduled,2.35,24.90,2.49,Dec-2025
