HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521018633@242939@101125115@2107@101006@205360,MAIN,DOXBRIN 10 MG TABLET 10,BRINTON PHARMACEUTICALS .LTD,DOXEPIN TABLET 10 MG,10 TABLET,TABLET,Non-Scheduled,-1,73.13,7.31,Dec-2025
1521018633@242939@101125115@2107@101006@205360,OTHER,DOXYRIL,RELIANCE FORMULATION PVT LTD,DOXEPIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,35.63,3.56,Dec-2025
1521018633@242939@101125115@2107@101006@205360,OTHER,QIPY,TAS MED (INDIA) PRIVATE LTD.,DOXEPIN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,60.12,6.01,Dec-2025
1521018634@242940@101125115@3312@101006@205360,MAIN,DOXBRIN 25 MG TABLET 10,BRINTON PHARMACEUTICALS .LTD,DOXEPIN TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,118.45,11.85,Dec-2025
1521018634@242940@101125115@3312@101006@205360,OTHER,DOXYRIL,RELIANCE FORMULATION PVT LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,42.00,4.20,Dec-2025
1521018634@242940@101125115@3312@101006@205360,OTHER,DOXINURIN,EAST WEST PHARMA,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,45.10,4.51,Dec-2025
1521018634@242940@101125115@3312@101006@205360,OTHER,PRUGONE,DERMAKARE PHARMACEUTICALS PVT.LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,52.94,5.29,Dec-2025
1521018634@242940@101125115@3312@101006@205360,OTHER,DOX (DD PHARMA),D.D PHARMACEUTICALS,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,58.23,5.82,Dec-2025
1521018634@242940@101125115@3312@101006@205360,OTHER,DOXEDEP,LA PHARMACEUTICALS,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,70.31,7.03,Dec-2025
1521018634@242940@101125115@3312@101006@205360,OTHER,WOXEPIN,RIVAN PHARMACEUTICALS PVT.LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521018634@242940@101125115@3312@101006@205360,OTHER,QIPY,TAS MED (INDIA) PRIVATE LTD.,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,93.02,9.30,Dec-2025
1521018613@167081@101125053@2107@101038@205360,MAIN,DOX (DD PHARMA) 10 MG CAPSULE 10,D.D PHARMACEUTICALS,DOXEPIN CAPSULE 10 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,32.60,3.26,Dec-2025
1521018613@167081@101125053@2107@101038@205360,OTHER,DOXIN,INTAS PHARMACEUTICALS LTD,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,37.00,3.70,Dec-2025
1521018613@167081@101125053@2107@101038@205360,OTHER,SPECTRA,ERIS LIFESCIENCES LTD,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,77.67,7.77,Dec-2025
1521018613@167081@101125053@2107@101038@205360,OTHER,GALDOPIN,GALCARE PHARMACEUTICALS P. LTD,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,79.69,7.97,Dec-2025
1521018613@167081@101125053@2107@101038@205360,OTHER,WOXEPIN,RIVAN PHARMACEUTICALS PVT.LTD,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521018615@114472@101125053@3312@101006@205360,MAIN,DOX (DD PHARMA) 25 MG TABLET 10,D.D PHARMACEUTICALS,DOXEPIN TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,58.23,5.82,Dec-2025
1521018615@114472@101125053@3312@101006@205360,OTHER,DOXYRIL,RELIANCE FORMULATION PVT LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,42.00,4.20,Dec-2025
1521018615@114472@101125053@3312@101006@205360,OTHER,DOXINURIN,EAST WEST PHARMA,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,45.10,4.51,Dec-2025
1521018615@114472@101125053@3312@101006@205360,OTHER,PRUGONE,DERMAKARE PHARMACEUTICALS PVT.LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,52.94,5.29,Dec-2025
1521018615@114472@101125053@3312@101006@205360,OTHER,DOXEDEP,LA PHARMACEUTICALS,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,70.31,7.03,Dec-2025
1521018615@114472@101125053@3312@101006@205360,OTHER,WOXEPIN,RIVAN PHARMACEUTICALS PVT.LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521018615@114472@101125053@3312@101006@205360,OTHER,QIPY,TAS MED (INDIA) PRIVATE LTD.,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,93.02,9.30,Dec-2025
1521018615@114472@101125053@3312@101006@205360,OTHER,DOXBRIN,BRINTON PHARMACEUTICALS .LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,118.45,11.85,Dec-2025
1521018574@114473@101125053@3791@101006@205360,MAIN,DOX (DD PHARMA) 50 MG TABLET 10,D.D PHARMACEUTICALS,DOXEPIN TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,74.00,7.40,Dec-2025
1521067722@114476@101125053@3937@101038@205360,MAIN,DOX (DD PHARMA) 75 MG CAPSULE 10,D.D PHARMACEUTICALS,DOXEPIN CAPSULE 75 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,77.00,7.70,Dec-2025
1521067722@114476@101125053@3937@101038@205360,OTHER,DOXIN,INTAS PHARMACEUTICALS LTD,DOXEPIN CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,134.50,13.45,Dec-2025
1521067722@114476@101125053@3937@101038@205360,OTHER,SPECTRA,ERIS LIFESCIENCES LTD,DOXEPIN CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,182.68,18.27,Dec-2025
1521018650@13685@101125131@3312@101006@205360,MAIN,DOXEDEP 25 MG TABLET 10,LA PHARMACEUTICALS,DOXEPIN TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,70.31,7.03,Dec-2025
1521018650@13685@101125131@3312@101006@205360,OTHER,DOXYRIL,RELIANCE FORMULATION PVT LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,42.00,4.20,Dec-2025
1521018650@13685@101125131@3312@101006@205360,OTHER,DOXINURIN,EAST WEST PHARMA,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,45.10,4.51,Dec-2025
1521018650@13685@101125131@3312@101006@205360,OTHER,PRUGONE,DERMAKARE PHARMACEUTICALS PVT.LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,52.94,5.29,Dec-2025
1521018650@13685@101125131@3312@101006@205360,OTHER,DOX (DD PHARMA),D.D PHARMACEUTICALS,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,58.23,5.82,Dec-2025
1521018650@13685@101125131@3312@101006@205360,OTHER,WOXEPIN,RIVAN PHARMACEUTICALS PVT.LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521018650@13685@101125131@3312@101006@205360,OTHER,QIPY,TAS MED (INDIA) PRIVATE LTD.,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,93.02,9.30,Dec-2025
1521018650@13685@101125131@3312@101006@205360,OTHER,DOXBRIN,BRINTON PHARMACEUTICALS .LTD,DOXEPIN TABLET 25 MG,10,TABLET,Non-Scheduled,-1,118.45,11.85,Dec-2025
1521018651@95433@101125131@3937@101006@205360,MAIN,DOXEDEP 75 MG TABLET 10,LA PHARMACEUTICALS,DOXEPIN TABLET 75 MG,10 TABLET,TABLET,Non-Scheduled,-1,82.80,8.28,Dec-2025
1521018663@64644@101125149@2107@101038@205360,MAIN,DOXIN 10 MG CAPSULE 10,INTAS PHARMACEUTICALS LTD,DOXEPIN CAPSULE 10 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,37.00,3.70,Dec-2025
1521018663@64644@101125149@2107@101038@205360,OTHER,DOX (DD PHARMA),D.D PHARMACEUTICALS,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,32.60,3.26,Dec-2025
1521018663@64644@101125149@2107@101038@205360,OTHER,SPECTRA,ERIS LIFESCIENCES LTD,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,77.67,7.77,Dec-2025
1521018663@64644@101125149@2107@101038@205360,OTHER,GALDOPIN,GALCARE PHARMACEUTICALS P. LTD,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,79.69,7.97,Dec-2025
1521018663@64644@101125149@2107@101038@205360,OTHER,WOXEPIN,RIVAN PHARMACEUTICALS PVT.LTD,DOXEPIN CAPSULE 10 MG,10,CAPSULE,Non-Scheduled,-1,80.00,8.00,Dec-2025
1521018664@64645@101125149@3312@101038@205360,MAIN,DOXIN 25 MG CAPSULE 10,INTAS PHARMACEUTICALS LTD,DOXEPIN CAPSULE 25 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,83.44,8.34,Dec-2025
1521018664@64645@101125149@3312@101038@205360,OTHER,XEPRICH,SEAGULL PHARMA,DOXEPIN CAPSULE 25 MG,10,CAPSULE,Non-Scheduled,-1,31.25,3.13,Dec-2025
1521018664@64645@101125149@3312@101038@205360,OTHER,SIDOPIN,SHINE PHARMACEUTICALS LTD,DOXEPIN CAPSULE 25 MG,10,CAPSULE,Non-Scheduled,-1,53.20,5.32,Dec-2025
1521018664@64645@101125149@3312@101038@205360,OTHER,WOXEPIPE,RIVAN PHARMACEUTICALS PVT.LTD,DOXEPIN CAPSULE 25 MG,10,CAPSULE,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521018664@64645@101125149@3312@101038@205360,OTHER,GALDOPIN,GALCARE PHARMACEUTICALS P. LTD,DOXEPIN CAPSULE 25 MG,10,CAPSULE,Non-Scheduled,-1,104.06,10.41,Dec-2025
1521018664@64645@101125149@3312@101038@205360,OTHER,SPECTRA,ERIS LIFESCIENCES LTD,DOXEPIN CAPSULE 25 MG,10,CAPSULE,Non-Scheduled,-1,139.23,13.92,Dec-2025
1521018666@64646@101125149@3937@101038@205360,MAIN,DOXIN 75 MG CAPSULE 10,INTAS PHARMACEUTICALS LTD,DOXEPIN CAPSULE 75 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,134.50,13.45,Dec-2025
1521018666@64646@101125149@3937@101038@205360,OTHER,DOX (DD PHARMA),D.D PHARMACEUTICALS,DOXEPIN CAPSULE 75 MG,10,CAPSULE,Non-Scheduled,-1,77.00,7.70,Dec-2025
