HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521102852@353787@101194974@3312@101006@200600,MAIN,CADELTRO 25 MG TABLET 14,CADILA PHARMACEUTICALS LTD,ELTROMBOPAG TABLET 25 MG,14 TABLET,TABLET,Non-Scheduled,-1,3900.00,278.57,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,ELTROMAG,CIPLA LTD.,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,458.91,65.56,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,ELTROG,GLENMARK PHARMACEUTICALS LTD.,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,821.25,117.32,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,PLATIFY,INTAS PHARMACEUTICALS LTD,ELTROMBOPAG TABLET 25 MG,10,TABLET,Non-Scheduled,-1,1500.00,150.00,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,ROMPAG,HETERO HEALTHCARE LTD,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,1210.00,172.86,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,ELROMO,ZYDUS HEALTHCARE LTD.,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,1230.94,175.85,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,TROMBONAT,NATCO PHARMA LTD,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,1312.50,187.50,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,REBOPAG,MSN LABORATORIES LTD,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,1546.88,220.98,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,REVUGAM,BHARAT SERUMS & VACCINES LTD,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,1650.00,235.71,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,TROMBOPAG,NATCO PHARMA LTD,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,1800.00,257.14,Dec-2025
1521102852@353787@101194974@3312@101006@200600,OTHER,REVOLADE,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,ELTROMBOPAG TABLET 25 MG,7,TABLET,Non-Scheduled,-1,7827.50,1118.21,Dec-2025
1521103414@353788@101194974@3791@101006@200600,MAIN,CADELTRO 50 MG TABLET 14,CADILA PHARMACEUTICALS LTD,ELTROMBOPAG TABLET 50 MG,14 TABLET,TABLET,Non-Scheduled,-1,6900.00,492.86,Dec-2025
1521103414@353788@101194974@3791@101006@200600,OTHER,ELTROMAG,CIPLA LTD.,ELTROMBOPAG TABLET 50 MG,7,TABLET,Non-Scheduled,-1,1009.59,144.23,Dec-2025
1521103414@353788@101194974@3791@101006@200600,OTHER,ELTROG,GLENMARK PHARMACEUTICALS LTD.,ELTROMBOPAG TABLET 50 MG,7,TABLET,Non-Scheduled,-1,1539.85,219.98,Dec-2025
1521103414@353788@101194974@3791@101006@200600,OTHER,ELROMO,ZYDUS HEALTHCARE LTD.,ELTROMBOPAG TABLET 50 MG,7,TABLET,Non-Scheduled,-1,1692.10,241.73,Dec-2025
