HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521138935@298675@101228106@2107@101006@202368,MAIN,ACTIGRAIN 10 MG TABLET 10,UNIVENTIS MEDICARE LIMITED,FLUNARIZINE TABLET 10 MG,10 TABLET,TABLET,Scheduled,4.90,43.75,4.38,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FLUZ (EAST WEST),EAST WEST PHARMA,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,22.00,2.20,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FLUNORM,ALTEUS BIOGENICS PVT.LTD.,FLUNARIZINE TABLET 10 MG,15,TABLET,Scheduled,4.90,55.99,3.73,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,SUTHRAINE,NRI VISION CARE,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,37.50,3.75,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,MNIL,PHARMTAK,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,38.90,3.89,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,GRENIL F,KARNATAKA ANTIBIOTICS & PHARMACEUTICALS LTD(KAPL),FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,40.31,4.03,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,MIGAZIN,MOREPEN LABORATORIES LIMITED,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,40.73,4.07,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,MIGARID,CIPLA LTD.,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,41.09,4.11,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FLUTAC,SIGNOVA PHARMA (P) LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,42.00,4.20,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,MEGRIM,SUNWAYS (INDIA) PVT LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,43.00,4.30,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FLUZINE,TAS MED (INDIA) PRIVATE LTD.,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,45.00,4.50,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FPMAT,MATTEO HEALTHCARE PVT.LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,45.00,4.50,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,MIGRAN,LEEFORD HEALTHCARE,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,45.00,4.50,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,ZEROACH,DYCINE PHARMACEUTICALS,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,45.94,4.59,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,RAZIN,SHINE PHARMACEUTICALS LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,47.44,4.74,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,ZEROGRAIN,MANKIND PHARMACEUTICALS LTD.,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,48.12,4.81,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,VISIGRAIN,ASTA VISION CARE PVT.LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,49.00,4.90,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,PROFIGRAN,ALKEM LABORATORIES LTD.,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,49.60,4.96,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FRACIL,CNX HEALTHCARE PVT LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,49.69,4.97,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,PREVENTEK,TAS MED (INDIA) PRIVATE LTD.,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,50.31,5.03,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,LUNA,SIGMUND PROMEDICA,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,50.53,5.05,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,ALMIG,ALTIUS PHARMACEUTICALS PVT.LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,50.61,5.06,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FLUNAREST,SENSES PHARMACEUTICALS LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,50.61,5.06,Dec-2025
1521138935@298675@101228106@2107@101006@202368,OTHER,FLUNATOD,ENTOD PHARMACEUTICALS LTD,FLUNARIZINE TABLET 10 MG,10,TABLET,Scheduled,4.90,50.63,5.06,Dec-2025
