HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521036218@321134@101139425@3312@101006@202135,MAIN,IGUMOD 25 MG TABLET 10,MEDLEY PHARMACEUTICALS,IGURATIMOD TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,235.00,23.50,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,IGUVIC,HETERO HEALTHCARE LTD,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,254.06,25.41,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,MIMOD,AJANTA PHARMA LTD,IGURATIMOD TABLET 25 MG,15,TABLET,Non-Scheduled,-1,420.00,28.00,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,IGURNORM,RPG LIFE SCIENCES LTD.,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,300.00,30.00,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,IGUSEAS,OVERSEAS HEALTHCARE PVT LTD.,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,304.69,30.47,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,ZYRAMOD,ZYDUS HEALTHCARE LTD.,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,308.80,30.88,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,IGURATI,IPCA LABORATORIES PVT LTD.,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,324.09,32.41,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,REDIMARD,DR. REDDYS LABORATORIES LTD,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,339.14,33.91,Dec-2025
1521036218@321134@101139425@3312@101006@202135,OTHER,MIMOD,AJANTA PHARMA LTD,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,448.00,44.80,Dec-2025
1521036219@315856@101139426@3312@101006@202135,MAIN,IGURATI 25 MG TABLET 10,IPCA LABORATORIES PVT LTD.,IGURATIMOD TABLET 25 MG,10 TABLET,TABLET,Non-Scheduled,-1,324.09,32.41,Dec-2025
1521036219@315856@101139426@3312@101006@202135,OTHER,IGUMOD,MEDLEY PHARMACEUTICALS,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,235.00,23.50,Dec-2025
1521036219@315856@101139426@3312@101006@202135,OTHER,IGUVIC,HETERO HEALTHCARE LTD,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,254.06,25.41,Dec-2025
1521036219@315856@101139426@3312@101006@202135,OTHER,MIMOD,AJANTA PHARMA LTD,IGURATIMOD TABLET 25 MG,15,TABLET,Non-Scheduled,-1,420.00,28.00,Dec-2025
1521036219@315856@101139426@3312@101006@202135,OTHER,IGURNORM,RPG LIFE SCIENCES LTD.,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,300.00,30.00,Dec-2025
1521036219@315856@101139426@3312@101006@202135,OTHER,IGUSEAS,OVERSEAS HEALTHCARE PVT LTD.,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,304.69,30.47,Dec-2025
1521036219@315856@101139426@3312@101006@202135,OTHER,ZYRAMOD,ZYDUS HEALTHCARE LTD.,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,308.80,30.88,Dec-2025
1521036219@315856@101139426@3312@101006@202135,OTHER,REDIMARD,DR. REDDYS LABORATORIES LTD,IGURATIMOD TABLET 25 MG,10,TABLET,Non-Scheduled,-1,339.14,33.91,Dec-2025
