HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521017703@92468@101124240@2743@101075@200768,MAIN,DIURIX 1.5 MG TABLET SR 10,BAL PHARMA,INDAPAMIDE TABLET SR 1.5 MG,10 TABLET SR,TABLET SR,Non-Scheduled,-1,82.97,8.30,Dec-2025
1521017703@92468@101124240@2743@101075@200768,OTHER,NATRILIX,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,INDAPAMIDE TABLET SR 1.5 MG,10,TABLET SR,Non-Scheduled,-1,164.58,16.46,Dec-2025
1521017703@92468@101124240@2743@101075@200768,OTHER,LORVAS,TORRENT PHARMACEUTICALS LTD.,INDAPAMIDE TABLET SR 1.5 MG,10,TABLET SR,Non-Scheduled,-1,196.85,19.69,Dec-2025
1521017704@78345@101124240@3311@101006@200768,MAIN,DIURIX 2.5 MG TABLET 10,BAL PHARMA,INDAPAMIDE TABLET 2.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,50.63,5.06,Dec-2025
1521017704@78345@101124240@3311@101006@200768,OTHER,INMIDE,EAST WEST PHARMA,INDAPAMIDE TABLET 2.5 MG,10,TABLET,Non-Scheduled,-1,62.00,6.20,Dec-2025
1521017704@78345@101124240@3311@101006@200768,OTHER,NATRILIX,SERDIA PHARMACEUTICALS (INDIA) PVT. LTD.,INDAPAMIDE TABLET 2.5 MG,10,TABLET,Non-Scheduled,-1,104.50,10.45,Dec-2025
1521017704@78345@101124240@3311@101006@200768,OTHER,INDIPIL,ERIS LIFESCIENCES LTD,INDAPAMIDE TABLET 2.5 MG,10,TABLET,Non-Scheduled,-1,112.50,11.25,Dec-2025
1521017704@78345@101124240@3311@101006@200768,OTHER,LORVAS,TORRENT PHARMACEUTICALS LTD.,INDAPAMIDE TABLET 2.5 MG,10,TABLET,Non-Scheduled,-1,139.95,14.00,Dec-2025
1521036648@20054@101139848@2743@101034@200768,MAIN,INDICONTIN 1.5 MG TABLET CR 10,MODI MUNDI PHARMA PVT LTD,INDAPAMIDE TABLET CR 1.5 MG,10 TABLET CR,TABLET CR,Non-Scheduled,-1,152.00,15.20,Dec-2025
1521137966@9999995859@101247707@2743@101006@200768,MAIN,INDIPIL 1.5 MG TABLET 10,ERIS LIFESCIENCES LTD,INDAPAMIDE TABLET 1.5 MG,10 TABLET,TABLET,Non-Scheduled,-1,98.43,9.84,Dec-2025
