HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521152370@339482@101230463@2744@101006@200270,MAIN,COOLET JR 15 MG TABLET 10,HEALTHON LIFE SCIENCES PVT.LTD,LANSOPRAZOLE TABLET 15 MG,10 TABLET,TABLET,Non-Scheduled,-1,121.00,12.10,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,PROZER,EAST WEST PHARMA,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,27.72,2.77,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LASOKID,GUJARAT TERCE LABORATORIES LTD,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANSWIFT,INDSWIFT LABORATORIES LTD.,LANSOPRAZOLE TABLET 15 MG,15,TABLET,Non-Scheduled,-1,125.63,8.38,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANSOJOY,FORGEN HEALTHCARE LTD.,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,84.93,8.49,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANZORICH,RAVENBHEL PHARMACEUTICALS PVT LTD.,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,90.28,9.03,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANZOPRAX,MACLEODS PHARMACEUTICALS PVT.LTD,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,94.12,9.41,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANFIL,FOURRTS INDIA LABORATORIES PVT. LTD,LANSOPRAZOLE TABLET 15 MG,15,TABLET,Non-Scheduled,-1,147.19,9.81,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANRIEF,CENTAUR PHARMACEUTICALS PVT.LTD,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,102.00,10.20,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANSOGER,REMEMBER INDIA MEDICOS,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,119.06,11.91,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,JUNIOR LANZOL,CIPLA LTD.,LANSOPRAZOLE TABLET 15 MG,15,TABLET,Non-Scheduled,-1,184.50,12.30,Dec-2025
1521152370@339482@101230463@2744@101006@200270,OTHER,LANSPRO,INDCHEMIE HEALTH SPECIALITIES PVT. LTD.,LANSOPRAZOLE TABLET 15 MG,15,TABLET,Non-Scheduled,-1,200.63,13.38,Dec-2025
1521038476@225245@101141664@2744@101006@200270,MAIN,JUNIOR LANZOL 15 MG TABLET 15,CIPLA LTD.,LANSOPRAZOLE TABLET 15 MG,15 TABLET,TABLET,Non-Scheduled,-1,184.50,12.30,Dec-2025
1521038476@225245@101141664@2744@101006@200270,OTHER,PROZER,EAST WEST PHARMA,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,27.72,2.77,Dec-2025
1521038476@225245@101141664@2744@101006@200270,OTHER,LASOKID,GUJARAT TERCE LABORATORIES LTD,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,75.00,7.50,Dec-2025
1521038476@225245@101141664@2744@101006@200270,OTHER,LANSWIFT,INDSWIFT LABORATORIES LTD.,LANSOPRAZOLE TABLET 15 MG,15,TABLET,Non-Scheduled,-1,125.63,8.38,Dec-2025
1521038476@225245@101141664@2744@101006@200270,OTHER,LANSOJOY,FORGEN HEALTHCARE LTD.,LANSOPRAZOLE TABLET 15 MG,10,TABLET,Non-Scheduled,-1,84.93,8.49,Dec-2025
