HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521028014@97745@101131849@3973@101068@201991,MAIN,FLEXILOR 8 MG INJECTION 2 ML,INTEGRACE HEALTH,LORNOXICAM INJECTION 8 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,170.63,85.32,Dec-2025
1521028014@97745@101131849@3973@101068@201991,OTHER,LORSAID,ABBOTT HEALTHCARE PVT. LTD,LORNOXICAM INJECTION 8 MG,2,INJECTION,Non-Scheduled,-1,126.93,63.47,Dec-2025
1521028016@81990@101131849@3973@101006@201991,MAIN,FLEXILOR 8 MG TABLET 10,INTEGRACE HEALTH,LORNOXICAM TABLET 8 MG,10 TABLET,TABLET,Non-Scheduled,-1,146.72,14.67,Dec-2025
1521028016@81990@101131849@3973@101006@201991,OTHER,LORNICAM,ARISTO PHARMACEUTICALS PVT.LTD,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,64.55,6.46,Dec-2025
1521028016@81990@101131849@3973@101006@201991,OTHER,LODOL,EAST WEST PHARMA,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,68.00,6.80,Dec-2025
1521028016@81990@101131849@3973@101006@201991,OTHER,LOROX,SUNDYOTA NUMANDIS PHARMA PVT LTD,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
1521028016@81990@101131849@3973@101006@201991,OTHER,LOFECAM,SUN PHARMA LABORATORIES LTD.,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,118.00,11.80,Dec-2025
1521028016@81990@101131849@3973@101006@201991,OTHER,QUIKLOR,UMANO HEALTHCARE PVT.LIMITED,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,134.00,13.40,Dec-2025
1521028016@81990@101131849@3973@101006@201991,OTHER,LORSAID SD,ABBOTT HEALTHCARE PVT. LTD,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,179.35,17.94,Dec-2025
1521102638@290926@101146269@3708@101006@201991,MAIN,LODOL 4 MG TABLET 10,EAST WEST PHARMA,LORNOXICAM TABLET 4 MG,10 TABLET,TABLET,Non-Scheduled,-1,39.50,3.95,Dec-2025
1521102638@290926@101146269@3708@101006@201991,OTHER,LORNICAM,ARISTO PHARMACEUTICALS PVT.LTD,LORNOXICAM TABLET 4 MG,10,TABLET,Non-Scheduled,-1,33.70,3.37,Dec-2025
1521102638@290926@101146269@3708@101006@201991,OTHER,ZELORN,ANTHUS PHARMACEUTICALS PVT LTD.,LORNOXICAM TABLET 4 MG,10,TABLET,Non-Scheduled,-1,74.06,7.41,Dec-2025
1521102638@290926@101146269@3708@101006@201991,OTHER,LORSAID SD,ABBOTT HEALTHCARE PVT. LTD,LORNOXICAM TABLET 4 MG,10,TABLET,Non-Scheduled,-1,83.44,8.34,Dec-2025
1521102638@290926@101146269@3708@101006@201991,OTHER,LOROX,SUNDYOTA NUMANDIS PHARMA PVT LTD,LORNOXICAM TABLET 4 MG,10,TABLET,Non-Scheduled,-1,179.06,17.91,Dec-2025
1521144505@290927@101146269@3973@101006@201991,MAIN,LODOL 8 MG TABLET 10,EAST WEST PHARMA,LORNOXICAM TABLET 8 MG,10 TABLET,TABLET,Non-Scheduled,-1,68.00,6.80,Dec-2025
1521144505@290927@101146269@3973@101006@201991,OTHER,LORNICAM,ARISTO PHARMACEUTICALS PVT.LTD,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,64.55,6.46,Dec-2025
1521144505@290927@101146269@3973@101006@201991,OTHER,LOROX,SUNDYOTA NUMANDIS PHARMA PVT LTD,LORNOXICAM TABLET 8 MG,10,TABLET,Non-Scheduled,-1,92.81,9.28,Dec-2025
