HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521102470@353971@101245140@2974@101038@200329,MAIN,BENIZEP SR 200 MG CAPSULE 10,LA RENON HEALTHCARE PVT.LTD,MEBEVERINE CAPSULE 200 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,240.93,24.09,Dec-2025
1521102470@353971@101245140@2974@101038@200329,OTHER,MEB-SR,INTAS PHARMACEUTICALS LTD,MEBEVERINE CAPSULE 200 MG,10,CAPSULE,Non-Scheduled,-1,165.00,16.50,Dec-2025
1521039483@301149@101116512@2974@101146@200329,MAIN,CIZASPA 200 MG CAPSULE SR 10,LUPIN LTD,MEBEVERINE CAPSULE SR 200 MG,10 CAPSULE SR,CAPSULE SR,Non-Scheduled,-1,196.05,19.61,Dec-2025
1521039483@301149@101116512@2974@101146@200329,OTHER,MOREASE,DR. REDDYS LABORATORIES LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,196.64,19.66,Dec-2025
1521039483@301149@101116512@2974@101146@200329,OTHER,MYCOLON,WATERLEY PHARMACEUTICALS PVT.LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,200.63,20.06,Dec-2025
1521039483@301149@101116512@2974@101146@200329,OTHER,COLORID,SANATRA HEALTH CARE PVT.LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,215.63,21.56,Dec-2025
1521039483@301149@101116512@2974@101146@200329,OTHER,MEBIZ,SUN PHARMA LABORATORIES LTD.,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,242.81,24.28,Dec-2025
1521039483@301149@101116512@2974@101146@200329,OTHER,MATIZ (TAS MED),TAS MED (INDIA) PRIVATE LTD.,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,253.08,25.31,Dec-2025
1521039483@301149@101116512@2974@101146@200329,OTHER,MEVA,ZYDUS HEALTHCARE LTD.,MEBEVERINE CAPSULE SR 200 MG,15,CAPSULE SR,Non-Scheduled,-1,431.99,28.80,Dec-2025
1521024059@203872@101116958@2493@101006@200329,MAIN,CLISTARM 135 MG TABLET 10,ORGANIC LABORATORIES,MEBEVERINE TABLET 135 MG,10 TABLET,TABLET,Non-Scheduled,-1,136.88,13.69,Dec-2025
1521024059@203872@101116958@2493@101006@200329,OTHER,IRISBA,EAST WEST PHARMA,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,84.20,8.42,Dec-2025
1521024059@203872@101116958@2493@101006@200329,OTHER,MEBASPA,USV PVT LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,93.25,9.33,Dec-2025
1521024059@203872@101116958@2493@101006@200329,OTHER,MYCOLON,WATERLEY PHARMACEUTICALS PVT.LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,131.25,13.13,Dec-2025
1521024059@203872@101116958@2493@101006@200329,OTHER,MOREASE,DR. REDDYS LABORATORIES LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,132.65,13.27,Dec-2025
1521024059@203872@101116958@2493@101006@200329,OTHER,COLOSPA,ABBOTT INDIA LTD.,MEBEVERINE TABLET 135 MG,15,TABLET,Non-Scheduled,-1,406.73,27.12,Dec-2025
1521092254@309623@101111825@2974@101146@200329,MAIN,COLORID 200 MG CAPSULE SR 10,SANATRA HEALTH CARE PVT.LTD,MEBEVERINE CAPSULE SR 200 MG,10 CAPSULE SR,CAPSULE SR,Non-Scheduled,-1,215.63,21.56,Dec-2025
1521092254@309623@101111825@2974@101146@200329,OTHER,CIZASPA,LUPIN LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,196.05,19.61,Dec-2025
1521092254@309623@101111825@2974@101146@200329,OTHER,MOREASE,DR. REDDYS LABORATORIES LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,196.64,19.66,Dec-2025
1521092254@309623@101111825@2974@101146@200329,OTHER,MYCOLON,WATERLEY PHARMACEUTICALS PVT.LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,200.63,20.06,Dec-2025
1521092254@309623@101111825@2974@101146@200329,OTHER,MEBIZ,SUN PHARMA LABORATORIES LTD.,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,242.81,24.28,Dec-2025
1521092254@309623@101111825@2974@101146@200329,OTHER,MATIZ (TAS MED),TAS MED (INDIA) PRIVATE LTD.,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,253.08,25.31,Dec-2025
1521092254@309623@101111825@2974@101146@200329,OTHER,MEVA,ZYDUS HEALTHCARE LTD.,MEBEVERINE CAPSULE SR 200 MG,15,CAPSULE SR,Non-Scheduled,-1,431.99,28.80,Dec-2025
1521091484@262943@101118893@2493@101006@200329,MAIN,COLOSPA 135 MG TABLET 15,ABBOTT INDIA LTD.,MEBEVERINE TABLET 135 MG,15 TABLET,TABLET,Non-Scheduled,-1,406.73,27.12,Dec-2025
1521091484@262943@101118893@2493@101006@200329,OTHER,IRISBA,EAST WEST PHARMA,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,84.20,8.42,Dec-2025
1521091484@262943@101118893@2493@101006@200329,OTHER,MEBASPA,USV PVT LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,93.25,9.33,Dec-2025
1521091484@262943@101118893@2493@101006@200329,OTHER,MYCOLON,WATERLEY PHARMACEUTICALS PVT.LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,131.25,13.13,Dec-2025
1521091484@262943@101118893@2493@101006@200329,OTHER,MOREASE,DR. REDDYS LABORATORIES LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,132.65,13.27,Dec-2025
1521091484@262943@101118893@2493@101006@200329,OTHER,CLISTARM,ORGANIC LABORATORIES,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,136.88,13.69,Dec-2025
1521092257@256779@101118893@2974@101006@200329,MAIN,COLOSPA RETARD 200 MG TABLET 15,ABBOTT INDIA LTD.,MEBEVERINE TABLET 200 MG,15 TABLET,TABLET,Non-Scheduled,-1,579.28,38.62,Dec-2025
1521092257@256779@101118893@2974@101006@200329,OTHER,NORMAXIN MB,SYSTOPIC LABORATORIES LTD-MEM,MEBEVERINE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,107.81,10.78,Dec-2025
1521092257@256779@101118893@2974@101006@200329,OTHER,MEBGREAT,SINSAN PHARMACEUTICALS,MEBEVERINE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,185.16,18.52,Dec-2025
1521037302@178743@101140524@2493@101006@200329,MAIN,IRISBA 135 MG TABLET 10,EAST WEST PHARMA,MEBEVERINE TABLET 135 MG,10 TABLET,TABLET,Non-Scheduled,-1,84.20,8.42,Dec-2025
1521037302@178743@101140524@2493@101006@200329,OTHER,MEBASPA,USV PVT LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,93.25,9.33,Dec-2025
1521037302@178743@101140524@2493@101006@200329,OTHER,MYCOLON,WATERLEY PHARMACEUTICALS PVT.LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,131.25,13.13,Dec-2025
1521037302@178743@101140524@2493@101006@200329,OTHER,MOREASE,DR. REDDYS LABORATORIES LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,132.65,13.27,Dec-2025
1521037302@178743@101140524@2493@101006@200329,OTHER,CLISTARM,ORGANIC LABORATORIES,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,136.88,13.69,Dec-2025
1521037302@178743@101140524@2493@101006@200329,OTHER,COLOSPA,ABBOTT INDIA LTD.,MEBEVERINE TABLET 135 MG,15,TABLET,Non-Scheduled,-1,406.73,27.12,Dec-2025
1521100535@261624@101194103@2974@101146@200329,MAIN,MATIZ (TAS MED) 200 MG CAPSULE SR 10,TAS MED (INDIA) PRIVATE LTD.,MEBEVERINE CAPSULE SR 200 MG,10 CAPSULE SR,CAPSULE SR,Non-Scheduled,-1,253.08,25.31,Dec-2025
1521100535@261624@101194103@2974@101146@200329,OTHER,CIZASPA,LUPIN LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,196.05,19.61,Dec-2025
1521100535@261624@101194103@2974@101146@200329,OTHER,MOREASE,DR. REDDYS LABORATORIES LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,196.64,19.66,Dec-2025
1521100535@261624@101194103@2974@101146@200329,OTHER,MYCOLON,WATERLEY PHARMACEUTICALS PVT.LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,200.63,20.06,Dec-2025
1521100535@261624@101194103@2974@101146@200329,OTHER,COLORID,SANATRA HEALTH CARE PVT.LTD,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,215.63,21.56,Dec-2025
1521100535@261624@101194103@2974@101146@200329,OTHER,MEBIZ,SUN PHARMA LABORATORIES LTD.,MEBEVERINE CAPSULE SR 200 MG,10,CAPSULE SR,Non-Scheduled,-1,242.81,24.28,Dec-2025
1521100535@261624@101194103@2974@101146@200329,OTHER,MEVA,ZYDUS HEALTHCARE LTD.,MEBEVERINE CAPSULE SR 200 MG,15,CAPSULE SR,Non-Scheduled,-1,431.99,28.80,Dec-2025
1521046018@23473@101149144@2493@101006@200329,MAIN,MEBASPA 135 MG TABLET 10,USV PVT LTD,MEBEVERINE TABLET 135 MG,10 TABLET,TABLET,Non-Scheduled,-1,93.25,9.33,Dec-2025
1521046018@23473@101149144@2493@101006@200329,OTHER,IRISBA,EAST WEST PHARMA,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,84.20,8.42,Dec-2025
1521046018@23473@101149144@2493@101006@200329,OTHER,MYCOLON,WATERLEY PHARMACEUTICALS PVT.LTD,MEBEVERINE TABLET 135 MG,10,TABLET,Non-Scheduled,-1,131.25,13.13,Dec-2025
