HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001105@194358@101101183@1642@101068@201568,MAIN,ACUPENEM 1000 MG INJECTION 1,MACLEODS PHARMACEUTICALS PVT.LTD,MEROPENEM INJECTION 1000 MG,1 INJECTION,INJECTION,Scheduled,969.32,835.79,835.79,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,NEXA,KAMRON LABORATORIES,MEROPENEM INJECTION 1000 MG,5,INJECTION,Scheduled,969.32,44.83,8.97,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,CARBAPEN M,BLUE CROSS LABORATORIES LTD,MEROPENEM INJECTION 1000 MG,20,INJECTION,Scheduled,969.32,890.00,44.50,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,PLENMERO,AKUMENTIS HEALTHCARE LTD,MEROPENEM INJECTION 1000 MG,20,INJECTION,Scheduled,969.32,1000.31,50.02,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROJECT,MICRO LABS LTD,MEROPENEM INJECTION 1000 MG,10,INJECTION,Scheduled,969.32,570.00,57.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,FYTOPENEM TRIO,AKUMENTIS HEALTHCARE LTD,MEROPENEM INJECTION 1000 MG,20,INJECTION,Scheduled,969.32,1142.86,57.14,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,VARNEM,VARENYAM HEALTHCARE PVT LTD.,MEROPENEM INJECTION 1000 MG,10,INJECTION,Scheduled,969.32,630.00,63.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,RONEM FORTE,VENUS REMEDIES LTD,MEROPENEM INJECTION 1000 MG,20,INJECTION,Scheduled,969.32,1470.00,73.50,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,FRESONEM,FRESENIUS KABI INDIA PVT LTD,MEROPENEM INJECTION 1000 MG,20,INJECTION,Scheduled,969.32,2974.78,148.74,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROCRIT,CIPLA LTD.,MEROPENEM INJECTION 1000 MG,5,INJECTION,Scheduled,969.32,901.87,180.37,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MERONAM (ELD),ELDER LABS LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,181.46,181.46,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,FYTOPENEM,AKUMENTIS HEALTHCARE LTD,MEROPENEM INJECTION 1000 MG,20,INJECTION,Scheduled,969.32,4174.00,208.70,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,AKUPEN,AKUMENTIS HEALTHCARE LTD,MEROPENEM INJECTION 1000 MG,20,INJECTION,Scheduled,969.32,4304.57,215.23,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROM,THEMIS MEDICARE LTD.,MEROPENEM INJECTION 1000 MG,10,INJECTION,Scheduled,969.32,2495.00,249.50,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,ELMERO,ELDER PROJECTS LIMITED,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,312.50,312.50,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,IXZA,ERIS LIFESCIENCES LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,371.98,371.98,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROSTAR,MOREPEN LABORATORIES LIMITED,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,468.75,468.75,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROLAN,VIATRIS,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,499.00,499.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,ZYPENEM,ZYPHARS PHARMACEUTICS PVT. LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,499.00,499.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,VALUPENEM,ABBOTT HEALTHCARE PVT. LTD,MEROPENEM INJECTION 1000 MG,2,INJECTION,Scheduled,969.32,1067.00,533.50,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,IBIMERO,LINUX LABORATORIES,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,543.29,543.29,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,PENU M,SANZYME LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,657.03,657.03,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,EMPIPENEM,SAMARTH LIFE SCIENCES PVT LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,660.00,660.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MERONIR,NIRLIFE HEALTHCARE,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,675.00,675.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROEVA,CONCORD BIOTECH LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,713.38,713.38,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,PLUGPEN,SAMARTH LIFE SCIENCES PVT LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,723.47,723.47,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,ZYDOPENEM,ZYDUS HEALTHCARE LTD.,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,750.00,750.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,GMERO,GALPHA LABORATORIES LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,762.30,762.30,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROKWIK,ALNICHE LIFE SCIENCES PVT.LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,799.00,799.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,KUPEN,HETERO HEALTHCARE LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,810.00,810.00,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MERONIC,CIPLA LTD.,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,834.37,834.37,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,MEROMAC,MACLEODS PHARMACEUTICALS PVT.LTD,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,835.79,835.79,Dec-2025
1521001105@194358@101101183@1642@101068@201568,OTHER,NILGRAM,AUROBINDO PHARMACEUTICALS LTD.,MEROPENEM INJECTION 1000 MG,1,INJECTION,Scheduled,969.32,850.13,850.13,Dec-2025
