HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001448@1132@101101741@3755@101006@202388,MAIN,ALCOLIV 500 MG TABLET 10,SUN PHARMA LABORATORIES LTD.,METADOXINE TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521001448@1132@101101741@3755@101006@202388,OTHER,METADOXIL,MICRO LABS LTD,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,168.00,16.80,Dec-2025
1521001448@1132@101101741@3755@101006@202388,OTHER,LIVODOX,ICON LIFESCIENCES,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,213.00,21.30,Dec-2025
1521001448@1132@101101741@3755@101006@202388,OTHER,VIBOLIV,DR. REDDYS LABORATORIES LTD,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,287.34,28.73,Dec-2025
1521042749@151779@101145957@3755@101006@202388,MAIN,LIVODOX 500 MG TABLET 10,ICON LIFESCIENCES,METADOXINE TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,213.00,21.30,Dec-2025
1521042749@151779@101145957@3755@101006@202388,OTHER,METADOXIL,MICRO LABS LTD,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,168.00,16.80,Dec-2025
1521042749@151779@101145957@3755@101006@202388,OTHER,ALCOLIV,SUN PHARMA LABORATORIES LTD.,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521042749@151779@101145957@3755@101006@202388,OTHER,VIBOLIV,DR. REDDYS LABORATORIES LTD,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,287.34,28.73,Dec-2025
1521047432@153683@101150520@3755@101006@202388,MAIN,METADOXIL 500 MG TABLET 10,MICRO LABS LTD,METADOXINE TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,168.00,16.80,Dec-2025
1521047432@153683@101150520@3755@101006@202388,OTHER,ALCOLIV,SUN PHARMA LABORATORIES LTD.,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521047432@153683@101150520@3755@101006@202388,OTHER,LIVODOX,ICON LIFESCIENCES,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,213.00,21.30,Dec-2025
1521047432@153683@101150520@3755@101006@202388,OTHER,VIBOLIV,DR. REDDYS LABORATORIES LTD,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,287.34,28.73,Dec-2025
1521143931@222886@101239416@-1@101126@202388,MAIN,TONELIV SYRUP 150 ML,ESMATRIX LIFE SCIENCES PVT.LTD,METADOXINE SYRUP ,150 ML SYRUP,SYRUP,Non-Scheduled,-1,139.69,0.93,Dec-2025
1521145521@245958@101239416@-1@101006@202388,MAIN,TONELIV TABLET 10,ESMATRIX LIFE SCIENCES PVT.LTD,METADOXINE TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,473.21,47.32,Dec-2025
1521131765@39965@101182585@3426@101068@202388,MAIN,VIBOLIV 300 MG INJECTION 5 ML,DR. REDDYS LABORATORIES LTD,METADOXINE INJECTION 300 MG,5 ML INJECTION,INJECTION,Non-Scheduled,-1,25.98,5.20,Dec-2025
1521081933@39966@101182585@3755@101006@202388,MAIN,VIBOLIV 500 MG TABLET 10,DR. REDDYS LABORATORIES LTD,METADOXINE TABLET 500 MG,10 TABLET,TABLET,Non-Scheduled,-1,287.34,28.73,Dec-2025
1521081933@39966@101182585@3755@101006@202388,OTHER,METADOXIL,MICRO LABS LTD,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,168.00,16.80,Dec-2025
1521081933@39966@101182585@3755@101006@202388,OTHER,ALCOLIV,SUN PHARMA LABORATORIES LTD.,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,195.00,19.50,Dec-2025
1521081933@39966@101182585@3755@101006@202388,OTHER,LIVODOX,ICON LIFESCIENCES,METADOXINE TABLET 500 MG,10,TABLET,Non-Scheduled,-1,213.00,21.30,Dec-2025
