HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521155135@9999994777@101242373@2642@101006@200721,MAIN,MAXILET 150 MG TABLET 10,MACLEODS PHARMACEUTICALS PVT.LTD,MEXILETINE TABLET 150 MG,10 TABLET,TABLET,Non-Scheduled,-1,828.09,82.81,Dec-2025
1521155135@9999994777@101242373@2642@101006@200721,OTHER,WELHART,TAS MED (INDIA) PRIVATE LTD.,MEXILETINE TABLET 150 MG,10,TABLET,Non-Scheduled,-1,902.63,90.26,Dec-2025
1521155445@9999994356@101242373@3791@101038@200721,MAIN,MAXILET 50 MG CAPSULE 10,MACLEODS PHARMACEUTICALS PVT.LTD,MEXILETINE CAPSULE 50 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,283.59,28.36,Dec-2025
1521155445@9999994356@101242373@3791@101038@200721,OTHER,MEXOHAR (CIPLA),CIPLA LTD.,MEXILETINE CAPSULE 50 MG,30,CAPSULE,Non-Scheduled,-1,935.85,31.20,Dec-2025
1521048001@199657@101151100@3215@101006@200721,MAIN,MEXETILA 250 MG TABLET 10,MEDISUN PHARMA,MEXILETINE TABLET 250 MG,10 TABLET,TABLET,Non-Scheduled,-1,243.75,24.38,Dec-2025
1521068963@294076@101151106@2642@101038@200721,MAIN,MEXOHAR (CIPLA) 150 MG CAPSULE 30,CIPLA LTD.,MEXILETINE CAPSULE 150 MG,30 CAPSULE,CAPSULE,Non-Scheduled,-1,2732.70,91.09,Dec-2025
1521048007@295927@101151106@3791@101038@200721,MAIN,MEXOHAR (CIPLA) 50 MG CAPSULE 30,CIPLA LTD.,MEXILETINE CAPSULE 50 MG,30 CAPSULE,CAPSULE,Non-Scheduled,-1,935.85,31.20,Dec-2025
1521048007@295927@101151106@3791@101038@200721,OTHER,MAXILET,MACLEODS PHARMACEUTICALS PVT.LTD,MEXILETINE CAPSULE 50 MG,10,CAPSULE,Non-Scheduled,-1,283.59,28.36,Dec-2025
1521093760@339547@101189982@2642@101006@200721,MAIN,WELHART 150 MG TABLET 10,TAS MED (INDIA) PRIVATE LTD.,MEXILETINE TABLET 150 MG,10 TABLET,TABLET,Non-Scheduled,-1,902.63,90.26,Dec-2025
1521093760@339547@101189982@2642@101006@200721,OTHER,MAXILET,MACLEODS PHARMACEUTICALS PVT.LTD,MEXILETINE TABLET 150 MG,10,TABLET,Non-Scheduled,-1,828.09,82.81,Dec-2025
1521094572@339548@101189982@3791@101006@200721,MAIN,WELHART 50 MG TABLET 10,TAS MED (INDIA) PRIVATE LTD.,MEXILETINE TABLET 50 MG,10 TABLET,TABLET,Non-Scheduled,-1,309.12,30.91,Dec-2025
