HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521006345@197087@101110278@-1@101018@205272,MAIN,ALBUMEN CARE MANGO SACHET 200 GM,B.V.BIO CORP PRIVATE LTD,MULTIVITAMINS SACHET ,200 GM SACHET,SACHET,Non-Scheduled,-1,876.00,4.38,Dec-2025
1521006345@197087@101110278@-1@101018@205272,OTHER,PRONUT BC,JB CHEMICALS,MULTIVITAMINS SACHET ,32,SACHET,Non-Scheduled,-1,89.00,2.78,Dec-2025
1521138328@253663@101229947@-1@101038@205272,MAIN,CHARM PLUS CAPSULE 10,MARSHA PHARMA,MULTIVITAMINS CAPSULE ,10 CAPSULE,CAPSULE,Non-Scheduled,-1,142.37,14.24,Dec-2025
1521138328@253663@101229947@-1@101038@205272,OTHER,WELTIN,DR. JOHNS LABORATORIES PVT LTD,MULTIVITAMINS CAPSULE ,10,CAPSULE,Non-Scheduled,-1,164.62,16.46,Dec-2025
1521159107@703563@101243506@-1@101068@205272,MAIN,CYNOCAL GOLD INJECTION 2 ML,OZONE PHARMACEUTICALS,MULTIVITAMINS INJECTION ,2 ML INJECTION,INJECTION,Non-Scheduled,-1,26.25,13.13,Dec-2025
1521159107@703563@101243506@-1@101068@205272,OTHER,TRIBION,INTAS PHARMACEUTICALS LTD,MULTIVITAMINS INJECTION ,2,INJECTION,Non-Scheduled,-1,25.00,12.50,Dec-2025
1521157174@701400@101243506@-1@101006@205272,MAIN,CYNOCAL GOLD TABLET 15,OZONE PHARMACEUTICALS,MULTIVITAMINS TABLET ,15 TABLET,TABLET,Non-Scheduled,-1,40.31,2.69,Dec-2025
1521157174@701400@101243506@-1@101006@205272,OTHER,IMMUNIV CZ,NAVIL LABORATORIES,MULTIVITAMINS TABLET ,30,TABLET,Non-Scheduled,-1,144.00,4.80,Dec-2025
1521157174@701400@101243506@-1@101006@205272,OTHER,ESVIFIL,BIOKINDLE LIFESCIENCES PVT. LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521157174@701400@101243506@-1@101006@205272,OTHER,ZIDCOM PLUS,ANTHUS PHARMACEUTICALS PVT LTD.,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,79.66,7.97,Dec-2025
1521157174@701400@101243506@-1@101006@205272,OTHER,FOLCI FORTE,SURGE BIOTECH PVT LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,95.00,9.50,Dec-2025
1521157174@701400@101243506@-1@101006@205272,OTHER,NEPHRO FE,MED GENIX,MULTIVITAMINS TABLET ,15,TABLET,Non-Scheduled,-1,158.44,10.56,Dec-2025
1521157174@701400@101243506@-1@101006@205272,OTHER,ZYVIZEST CD,ZYVIEON HEALTHCARE PVT.LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,124.58,12.46,Dec-2025
1521157174@701400@101243506@-1@101006@205272,OTHER,REPVITA-FE,REPENS HEALTHCARE INDIA PVT.LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,149.98,15.00,Dec-2025
1521103719@354313@101195563@-1@101006@205272,MAIN,ESVIFIL TABLET 10,BIOKINDLE LIFESCIENCES PVT. LTD,MULTIVITAMINS TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521103719@354313@101195563@-1@101006@205272,OTHER,CYNOCAL GOLD,OZONE PHARMACEUTICALS,MULTIVITAMINS TABLET ,15,TABLET,Non-Scheduled,-1,40.31,2.69,Dec-2025
1521103719@354313@101195563@-1@101006@205272,OTHER,IMMUNIV CZ,NAVIL LABORATORIES,MULTIVITAMINS TABLET ,30,TABLET,Non-Scheduled,-1,144.00,4.80,Dec-2025
1521103719@354313@101195563@-1@101006@205272,OTHER,ZIDCOM PLUS,ANTHUS PHARMACEUTICALS PVT LTD.,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,79.66,7.97,Dec-2025
1521103719@354313@101195563@-1@101006@205272,OTHER,FOLCI FORTE,SURGE BIOTECH PVT LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,95.00,9.50,Dec-2025
1521103719@354313@101195563@-1@101006@205272,OTHER,NEPHRO FE,MED GENIX,MULTIVITAMINS TABLET ,15,TABLET,Non-Scheduled,-1,158.44,10.56,Dec-2025
1521103719@354313@101195563@-1@101006@205272,OTHER,ZYVIZEST CD,ZYVIEON HEALTHCARE PVT.LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,124.58,12.46,Dec-2025
1521103719@354313@101195563@-1@101006@205272,OTHER,REPVITA-FE,REPENS HEALTHCARE INDIA PVT.LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,149.98,15.00,Dec-2025
1521028948@319261@101245300@-1@101006@205272,MAIN,FOLCI FORTE TABLET 10,SURGE BIOTECH PVT LTD,MULTIVITAMINS TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,95.00,9.50,Dec-2025
1521028948@319261@101245300@-1@101006@205272,OTHER,CYNOCAL GOLD,OZONE PHARMACEUTICALS,MULTIVITAMINS TABLET ,15,TABLET,Non-Scheduled,-1,40.31,2.69,Dec-2025
1521028948@319261@101245300@-1@101006@205272,OTHER,IMMUNIV CZ,NAVIL LABORATORIES,MULTIVITAMINS TABLET ,30,TABLET,Non-Scheduled,-1,144.00,4.80,Dec-2025
1521028948@319261@101245300@-1@101006@205272,OTHER,ESVIFIL,BIOKINDLE LIFESCIENCES PVT. LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,60.00,6.00,Dec-2025
1521028948@319261@101245300@-1@101006@205272,OTHER,ZIDCOM PLUS,ANTHUS PHARMACEUTICALS PVT LTD.,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,79.66,7.97,Dec-2025
1521028948@319261@101245300@-1@101006@205272,OTHER,NEPHRO FE,MED GENIX,MULTIVITAMINS TABLET ,15,TABLET,Non-Scheduled,-1,158.44,10.56,Dec-2025
1521028948@319261@101245300@-1@101006@205272,OTHER,ZYVIZEST CD,ZYVIEON HEALTHCARE PVT.LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,124.58,12.46,Dec-2025
1521028948@319261@101245300@-1@101006@205272,OTHER,REPVITA-FE,REPENS HEALTHCARE INDIA PVT.LTD,MULTIVITAMINS TABLET ,10,TABLET,Non-Scheduled,-1,149.98,15.00,Dec-2025
1521092587@316154@101139631@-1@101006@205272,MAIN,IMMUNIV CZ TABLET 30,NAVIL LABORATORIES,MULTIVITAMINS TABLET ,30 TABLET,TABLET,Non-Scheduled,-1,144.00,4.80,Dec-2025
1521092587@316154@101139631@-1@101006@205272,OTHER,CYNOCAL GOLD,OZONE PHARMACEUTICALS,MULTIVITAMINS TABLET ,15,TABLET,Non-Scheduled,-1,40.31,2.69,Dec-2025
