HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521052419@75296@101155372@2974@101068@201560,MAIN,NETICIN 200 MG INJECTION 2 ML,SAMARTH LIFE SCIENCES PVT LTD,NETILMICIN INJECTION 200 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,212.50,106.25,Dec-2025
1521052419@75296@101155372@2974@101068@201560,OTHER,NETSPAN,CIPLA LTD.,NETILMICIN INJECTION 200 MG,2,INJECTION,Non-Scheduled,-1,276.18,138.09,Dec-2025
1521052419@75296@101155372@2974@101068@201560,OTHER,NETMICIN,UNITED BIOTECH (P) LTD,NETILMICIN INJECTION 200 MG,2,INJECTION,Non-Scheduled,-1,365.00,182.50,Dec-2025
1521052420@75295@101155372@3426@101068@201560,MAIN,NETICIN 300 MG INJECTION 3 ML,SAMARTH LIFE SCIENCES PVT LTD,NETILMICIN INJECTION 300 MG,3 ML INJECTION,INJECTION,Non-Scheduled,-1,469.83,156.61,Dec-2025
1521052420@75295@101155372@3426@101068@201560,OTHER,NETILMAC,MACLEODS PHARMACEUTICALS PVT.LTD,NETILMICIN INJECTION 300 MG,3,INJECTION,Non-Scheduled,-1,481.88,160.63,Dec-2025
1521052420@75295@101155372@3426@101068@201560,OTHER,NETROMAX,ZUVENTUS HEALTHCARE LTD,NETILMICIN INJECTION 300 MG,3,INJECTION,Non-Scheduled,-1,495.00,165.00,Dec-2025
1521052420@75295@101155372@3426@101068@201560,OTHER,NETMICIN,UNITED BIOTECH (P) LTD,NETILMICIN INJECTION 300 MG,3,INJECTION,Non-Scheduled,-1,576.56,192.19,Dec-2025
1521052422@181645@101155377@2107@101068@201560,MAIN,NETILMAC 10 MG INJECTION 1 ML,MACLEODS PHARMACEUTICALS PVT.LTD,NETILMICIN INJECTION 10 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,48.00,48.00,Dec-2025
1521052422@181645@101155377@2107@101068@201560,OTHER,NETROMAX,ZUVENTUS HEALTHCARE LTD,NETILMICIN INJECTION 10 MG,1,INJECTION,Non-Scheduled,-1,50.50,50.50,Dec-2025
1521052422@181645@101155377@2107@101068@201560,OTHER,NETSPAN,CIPLA LTD.,NETILMICIN INJECTION 10 MG,1,INJECTION,Non-Scheduled,-1,60.59,60.59,Dec-2025
1521052425@181649@101155377@3312@101068@201560,MAIN,NETILMAC 25 MG INJECTION 1 ML,MACLEODS PHARMACEUTICALS PVT.LTD,NETILMICIN INJECTION 25 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,74.50,74.50,Dec-2025
1521052425@181649@101155377@3312@101068@201560,OTHER,NETSPAN,CIPLA LTD.,NETILMICIN INJECTION 25 MG,1,INJECTION,Non-Scheduled,-1,86.79,86.79,Dec-2025
1521052425@181649@101155377@3312@101068@201560,OTHER,NETROMAX,ZUVENTUS HEALTHCARE LTD,NETILMICIN INJECTION 25 MG,1,INJECTION,Non-Scheduled,-1,88.70,88.70,Dec-2025
1521052426@181650@101155377@3426@101068@201560,MAIN,NETILMAC 300 MG INJECTION 3 ML,MACLEODS PHARMACEUTICALS PVT.LTD,NETILMICIN INJECTION 300 MG,3 ML INJECTION,INJECTION,Non-Scheduled,-1,481.88,160.63,Dec-2025
1521052426@181650@101155377@3426@101068@201560,OTHER,NETICIN,SAMARTH LIFE SCIENCES PVT LTD,NETILMICIN INJECTION 300 MG,3,INJECTION,Non-Scheduled,-1,469.83,156.61,Dec-2025
1521052426@181650@101155377@3426@101068@201560,OTHER,NETROMAX,ZUVENTUS HEALTHCARE LTD,NETILMICIN INJECTION 300 MG,3,INJECTION,Non-Scheduled,-1,495.00,165.00,Dec-2025
1521052426@181650@101155377@3426@101068@201560,OTHER,NETMICIN,UNITED BIOTECH (P) LTD,NETILMICIN INJECTION 300 MG,3,INJECTION,Non-Scheduled,-1,576.56,192.19,Dec-2025
1521052427@181651@101155377@3791@101068@201560,MAIN,NETILMAC 50 MG INJECTION 1 ML,MACLEODS PHARMACEUTICALS PVT.LTD,NETILMICIN INJECTION 50 MG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,138.00,138.00,Dec-2025
1521052427@181651@101155377@3791@101068@201560,OTHER,NETMICIN,UNITED BIOTECH (P) LTD,NETILMICIN INJECTION 50 MG,2,INJECTION,Non-Scheduled,-1,140.00,70.00,Dec-2025
1521052427@181651@101155377@3791@101068@201560,OTHER,NETROMAX,ZUVENTUS HEALTHCARE LTD,NETILMICIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,175.05,175.05,Dec-2025
1521052427@181651@101155377@3791@101068@201560,OTHER,NETSPAN,CIPLA LTD.,NETILMICIN INJECTION 50 MG,1,INJECTION,Non-Scheduled,-1,179.14,179.14,Dec-2025
1521052416@25868@101155390@1846@101068@201560,MAIN,NETMICIN 100 MG INJECTION 2 ML,UNITED BIOTECH (P) LTD,NETILMICIN INJECTION 100 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,247.00,123.50,Dec-2025
1521052432@25869@101155390@2974@101068@201560,MAIN,NETMICIN 200 MG INJECTION 2 ML,UNITED BIOTECH (P) LTD,NETILMICIN INJECTION 200 MG,2 ML INJECTION,INJECTION,Non-Scheduled,-1,365.00,182.50,Dec-2025
1521052432@25869@101155390@2974@101068@201560,OTHER,NETICIN,SAMARTH LIFE SCIENCES PVT LTD,NETILMICIN INJECTION 200 MG,2,INJECTION,Non-Scheduled,-1,212.50,106.25,Dec-2025
1521052432@25869@101155390@2974@101068@201560,OTHER,NETSPAN,CIPLA LTD.,NETILMICIN INJECTION 200 MG,2,INJECTION,Non-Scheduled,-1,276.18,138.09,Dec-2025
1521052433@25870@101155390@3426@101068@201560,MAIN,NETMICIN 300 MG INJECTION 3 ML,UNITED BIOTECH (P) LTD,NETILMICIN INJECTION 300 MG,3 ML INJECTION,INJECTION,Non-Scheduled,-1,576.56,192.19,Dec-2025
1521052433@25870@101155390@3426@101068@201560,OTHER,NETICIN,SAMARTH LIFE SCIENCES PVT LTD,NETILMICIN INJECTION 300 MG,3,INJECTION,Non-Scheduled,-1,469.83,156.61,Dec-2025
