HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521000841@199539@101100955@3943@101097@202364,MAIN,2 BACONIL TTS 10 7 MG PATCH 7,RUSAN HEALTHCARE PVT. LTD,NICOTINE PATCH 7 MG,7 PATCH,PATCH,Non-Scheduled,-1,595.00,85.00,Dec-2025
1521000841@199539@101100955@3943@101097@202364,OTHER,NICOTEX,CIPLA LTD.,NICOTINE PATCH 7 MG,7,PATCH,Non-Scheduled,-1,599.00,85.57,Dec-2025
1521000841@199539@101100955@3943@101097@202364,OTHER,NITOF,HETERO HEALTHCARE LTD,NICOTINE PATCH 7 MG,1,PATCH,Non-Scheduled,-1,88.98,88.98,Dec-2025
1521000842@199540@101100955@2544@101097@202364,MAIN,2 BACONIL TTS 20 14 MG PATCH 7,RUSAN HEALTHCARE PVT. LTD,NICOTINE PATCH 14 MG,7 PATCH,PATCH,Non-Scheduled,-1,825.75,117.96,Dec-2025
1521000842@199540@101100955@2544@101097@202364,OTHER,NICOTEX,CIPLA LTD.,NICOTINE PATCH 14 MG,7,PATCH,Non-Scheduled,-1,699.00,99.86,Dec-2025
1521000842@199540@101100955@2544@101097@202364,OTHER,NITOF,HETERO HEALTHCARE LTD,NICOTINE PATCH 14 MG,1,PATCH,Non-Scheduled,-1,106.70,106.70,Dec-2025
1521000843@199541@101100955@3077@101097@202364,MAIN,2 BACONIL TTS 30 21 MG PATCH 7,RUSAN HEALTHCARE PVT. LTD,NICOTINE PATCH 21 MG,7 PATCH,PATCH,Non-Scheduled,-1,1040.16,148.59,Dec-2025
1521000843@199541@101100955@3077@101097@202364,OTHER,NICOTEX,CIPLA LTD.,NICOTINE PATCH 21 MG,7,PATCH,Non-Scheduled,-1,825.00,117.86,Dec-2025
1521155775@9999994304@101242542@-1@101090@202364,MAIN,CIG STOP NASAL SPRAY 20 ML,PRISTINE PEARL PHARMA PVT.LTD,NICOTINE NASAL SPRAY ,20 ML NASAL SPRAY,NASAL SPRAY,Non-Scheduled,-1,820.00,41.00,Dec-2025
1521053171@198099@101156121@3378@101096@202364,MAIN,NICLONZ 2 MG PASTILLES 10,INTAS PHARMACEUTICALS LTD,NICOTINE PASTILLES 2 MG,10 PASTILLES,PASTILLES,Scheduled,7.24,85.43,8.54,Dec-2025
1521053172@198098@101156121@3708@101096@202364,MAIN,NICLONZ 4 MG PASTILLES 10,INTAS PHARMACEUTICALS LTD,NICOTINE PASTILLES 4 MG,10 PASTILLES,PASTILLES,Scheduled,7.97,94.05,9.41,Dec-2025
1521133819@9999999428@101156150@2544@101094@202364,MAIN,NICOGUM 14 MG TRANSDERMAL PATCH 7,CIPLA LTD.,NICOTINE TRANSDERMAL PATCH 14 MG,7 TRANSDERMAL PATCH,TRANSDERMAL PATCH,Non-Scheduled,-1,699.00,99.86,Dec-2025
1521133857@9999999429@101156150@3077@101094@202364,MAIN,NICOGUM 21 MG TRANSDERMAL PATCH 7,CIPLA LTD.,NICOTINE TRANSDERMAL PATCH 21 MG,7 TRANSDERMAL PATCH,TRANSDERMAL PATCH,Non-Scheduled,-1,734.11,104.87,Dec-2025
