HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521001062@526@101109835@1829@101068@201383,MAIN,ACTIDE 100 MCG INJECTION 1 ML,SAMARTH LIFE SCIENCES PVT LTD,OCTREOTIDE INJECTION 100 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,771.97,771.97,Dec-2025
1521001062@526@101109835@1829@101068@201383,OTHER,OCTRIDE LACTIC ACID FORMULA,SUN PHARMA LABORATORIES LTD.,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,12.50,12.50,Dec-2025
1521001062@526@101109835@1829@101068@201383,OTHER,CELOSTATIN,CELON LABS,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,144.37,144.37,Dec-2025
1521001062@526@101109835@1829@101068@201383,OTHER,OCTRIDE,SUN PHARMA LABORATORIES LTD.,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,550.00,550.00,Dec-2025
1521001062@526@101109835@1829@101068@201383,OTHER,OTIDE,UNITED BIOTECH (P) LTD,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,675.00,675.00,Dec-2025
1521001062@526@101109835@1829@101068@201383,OTHER,NEOCTIDE,NEON LABORATORIES LTD,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,1116.00,1116.00,Dec-2025
1521005843@527@101109835@3789@101068@201383,MAIN,ACTIDE 50 MCG INJECTION 1 ML,SAMARTH LIFE SCIENCES PVT LTD,OCTREOTIDE INJECTION 50 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,355.87,355.87,Dec-2025
1521005843@527@101109835@3789@101068@201383,OTHER,OCTRIDE LACTIC ACID FORMULA,SUN PHARMA LABORATORIES LTD.,OCTREOTIDE INJECTION 50 MCG,1,INJECTION,Non-Scheduled,-1,1.25,1.25,Dec-2025
1521005843@527@101109835@3789@101068@201383,OTHER,CELOSTATIN,CELON LABS,OCTREOTIDE INJECTION 50 MCG,1,INJECTION,Non-Scheduled,-1,12.00,12.00,Dec-2025
1521005843@527@101109835@3789@101068@201383,OTHER,OTIDE,UNITED BIOTECH (P) LTD,OCTREOTIDE INJECTION 50 MCG,1,INJECTION,Non-Scheduled,-1,342.00,342.00,Dec-2025
1521005843@527@101109835@3789@101068@201383,OTHER,NEOCTIDE,NEON LABORATORIES LTD,OCTREOTIDE INJECTION 50 MCG,1,INJECTION,Non-Scheduled,-1,588.50,588.50,Dec-2025
1521101608@353006@101193290@1829@101068@201383,MAIN,CELOSTATIN 100 MCG INJECTION 1 ML,CELON LABS,OCTREOTIDE INJECTION 100 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,144.37,144.37,Dec-2025
1521101608@353006@101193290@1829@101068@201383,OTHER,OCTRIDE LACTIC ACID FORMULA,SUN PHARMA LABORATORIES LTD.,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,12.50,12.50,Dec-2025
1521101608@353006@101193290@1829@101068@201383,OTHER,OCTRIDE,SUN PHARMA LABORATORIES LTD.,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,550.00,550.00,Dec-2025
1521101608@353006@101193290@1829@101068@201383,OTHER,OTIDE,UNITED BIOTECH (P) LTD,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,675.00,675.00,Dec-2025
1521101608@353006@101193290@1829@101068@201383,OTHER,ACTIDE,SAMARTH LIFE SCIENCES PVT LTD,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,771.97,771.97,Dec-2025
1521101608@353006@101193290@1829@101068@201383,OTHER,NEOCTIDE,NEON LABORATORIES LTD,OCTREOTIDE INJECTION 100 MCG,1,INJECTION,Non-Scheduled,-1,1116.00,1116.00,Dec-2025
1521099524@350398@101193290@3789@101068@201383,MAIN,CELOSTATIN 50 MCG INJECTION 1 ML,CELON LABS,OCTREOTIDE INJECTION 50 MCG,1 ML INJECTION,INJECTION,Non-Scheduled,-1,12.00,12.00,Dec-2025
1521099524@350398@101193290@3789@101068@201383,OTHER,OCTRIDE LACTIC ACID FORMULA,SUN PHARMA LABORATORIES LTD.,OCTREOTIDE INJECTION 50 MCG,1,INJECTION,Non-Scheduled,-1,1.25,1.25,Dec-2025
1521099524@350398@101193290@3789@101068@201383,OTHER,OTIDE,UNITED BIOTECH (P) LTD,OCTREOTIDE INJECTION 50 MCG,1,INJECTION,Non-Scheduled,-1,342.00,342.00,Dec-2025
1521099524@350398@101193290@3789@101068@201383,OTHER,ACTIDE,SAMARTH LIFE SCIENCES PVT LTD,OCTREOTIDE INJECTION 50 MCG,1,INJECTION,Non-Scheduled,-1,355.87,355.87,Dec-2025
