HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521003888@115745@101101842@1147@101103@202461,MAIN,ALERCHEK 0.1 % EYE DROPS 5 ML,INDOCO REMEDIES LTD,OLOPATADINE EYE DROPS 0.1 %,5 ML EYE DROPS,EYE DROPS,Non-Scheduled,-1,181.00,36.20,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,OLO,INDSWIFT LABORATORIES LTD.,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,99.00,19.80,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,RAPIDON (MICRO),MICRO LABS LTD,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,102.00,20.40,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,NAYANPAT,CHETHANA PHARMACEUTICALS,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,103.13,20.63,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,VEULAP,LEEFORD HEALTHCARE,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,105.00,21.00,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,PETOLO,SAPIENT,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,110.63,22.13,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,OLOTOP,SUNWAYS (INDIA) PVT LTD,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,117.19,23.44,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,OLOBLU,LUPIN LTD,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,125.55,25.11,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,ZYOPTA,ZYDUS - BIOLOGICS,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,135.00,27.00,Dec-2025
1521003888@115745@101101842@1147@101103@202461,OTHER,ODIN,OPTHO REMEDIES PVT.LTD,OLOPATADINE EYE DROPS 0.1 %,5,EYE DROPS,Non-Scheduled,-1,139.53,27.91,Dec-2025
