HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521088877@245292@101111094@1563@101038@200543,MAIN,AGNA 10000 IU CAPSULE 10,DR. REDDYS LABORATORIES LTD,PANCREATIN CAPSULE 10000 IU,10 CAPSULE,CAPSULE,Non-Scheduled,-1,351.64,35.16,Dec-2025
1521088877@245292@101111094@1563@101038@200543,OTHER,PANSTAL PLUS,CIPLA LTD.,PANCREATIN CAPSULE 10000 IU,10,CAPSULE,Non-Scheduled,-1,194.46,19.45,Dec-2025
1521088877@245292@101111094@1563@101038@200543,OTHER,WINPERT,EMCURE PHARMACEUTICALS LTD,PANCREATIN CAPSULE 10000 IU,10,CAPSULE,Non-Scheduled,-1,225.30,22.53,Dec-2025
1521088877@245292@101111094@1563@101038@200543,OTHER,ENZELO,ZUVENTUS HEALTHCARE LTD,PANCREATIN CAPSULE 10000 IU,10,CAPSULE,Non-Scheduled,-1,278.00,27.80,Dec-2025
1521088877@245292@101111094@1563@101038@200543,OTHER,CAD PAN PE,CADILA PHARMACEUTICALS LTD,PANCREATIN CAPSULE 10000 IU,10,CAPSULE,Non-Scheduled,-1,286.88,28.69,Dec-2025
1521088877@245292@101111094@1563@101038@200543,OTHER,ENZAR,TORRENT PHARMACEUTICALS LTD.,PANCREATIN CAPSULE 10000 IU,10,CAPSULE,Non-Scheduled,-1,313.20,31.32,Dec-2025
1521010623@245293@101111094@3550@101038@200543,MAIN,AGNA 350 MG CAPSULE 10,DR. REDDYS LABORATORIES LTD,PANCREATIN CAPSULE 350 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,821.25,82.13,Dec-2025
1521010623@245293@101111094@3550@101038@200543,OTHER,PANMATE,HETERO HEALTHCARE LTD,PANCREATIN CAPSULE 350 MG,10,CAPSULE,Non-Scheduled,-1,560.50,56.05,Dec-2025
1521101838@353340@101194653@-1@101006@200543,MAIN,APTIPLEX TABLET 10,SHREYA LIFE SCIENCES PVT. LTD,PANCREATIN TABLET ,10 TABLET,TABLET,Non-Scheduled,-1,167.34,16.73,Dec-2025
1521101838@353340@101194653@-1@101006@200543,OTHER,MUMZYME,ST. MORRISON,PANCREATIN TABLET ,10,TABLET,Non-Scheduled,-1,59.50,5.95,Dec-2025
1521101838@353340@101194653@-1@101006@200543,OTHER,TOP3 PE,AARUX PHARMACEUTICALS PVT.LTD,PANCREATIN TABLET ,10,TABLET,Non-Scheduled,-1,138.08,13.81,Dec-2025
1521101838@353340@101194653@-1@101006@200543,OTHER,ENZASIA,OCTALIFE PHARMACEUTICALS PVT.LTD,PANCREATIN TABLET ,10,TABLET,Non-Scheduled,-1,437.50,43.75,Dec-2025
1521008980@307492@101105852@2642@101038@200543,MAIN,CADIPAN 150 MG CAPSULE 10,CADILA PHARMACEUTICALS LTD,PANCREATIN CAPSULE 150 MG,10 CAPSULE,CAPSULE,Non-Scheduled,-1,131.90,13.19,Dec-2025
1521008980@307492@101105852@2642@101038@200543,OTHER,PANCREHENZ,LA RENON HEALTHCARE PVT.LTD,PANCREATIN CAPSULE 150 MG,10,CAPSULE,Non-Scheduled,-1,223.34,22.33,Dec-2025
1521008980@307492@101105852@2642@101038@200543,OTHER,PANMATE,HETERO HEALTHCARE LTD,PANCREATIN CAPSULE 150 MG,10,CAPSULE,Non-Scheduled,-1,224.00,22.40,Dec-2025
1521008980@307492@101105852@2642@101038@200543,OTHER,LIPCERNA,ZYDUS - BIOLOGICS,PANCREATIN CAPSULE 150 MG,10,CAPSULE,Non-Scheduled,-1,250.00,25.00,Dec-2025
