HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521013291@322337@101105485@2107@101006@200591,MAIN,CAMERIV 10 MG TABLET 14,ALEMBIC LTD,RIVAROXABAN TABLET 10 MG,14 TABLET,TABLET,Non-Scheduled,-1,182.00,13.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVAFORD,LEEFORD HEALTHCARE,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,50.00,3.57,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVAROX,HEALING PHARMA INDIA PVT.LTD,RIVAROXABAN TABLET 10 MG,7,TABLET,Non-Scheduled,-1,29.25,4.18,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,IFAXA,LLOYD HEALTHCARE PVT.LTD,RIVAROXABAN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,121.87,8.12,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVABAN,LUPIN LTD,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,124.50,8.89,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVATROY,TROIKAA PHARMACEUTICALS LTD,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,140.00,10.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,XAREX,ALTEUS BIOGENICS PVT.LTD.,RIVAROXABAN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,153.14,10.21,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RPIGAT,NATCO PHARMA LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,103.13,10.31,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVASTAR,ORRIS PHARMACEUTICALS,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,108.00,10.80,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVOXAMAC,MACLEODS PHARMACEUTICALS PVT.LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,110.00,11.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,XAVIX,LINCOLN PHARMACEUTICALS LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,115.00,11.50,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,REBLESS,MANKIND PHARMACEUTICALS LTD.,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,120.00,12.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVABAN,LUPIN LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,124.50,12.45,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVATANE,MEDLEY PHARMACEUTICALS,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,124.50,12.45,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVALTO,ERIS LIFESCIENCES LTD,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,187.50,13.39,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVATOP,AJANTA PHARMA LTD,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,196.00,14.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVAXON,GLENMARK PHARMACEUTICALS LTD.,RIVAROXABAN TABLET 10 MG,7,TABLET,Non-Scheduled,-1,105.00,15.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,UNCLOT,INTAS PHARMACEUTICALS LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,150.00,15.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,XAVIAN,INTAS PHARMACEUTICALS LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,150.00,15.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,ZEROCLOT,TAS MED (INDIA) PRIVATE LTD.,RIVAROXABAN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,232.03,15.47,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVOLAS,MICRO LABS LTD,RIVAROXABAN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,234.30,15.62,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RRB,INTAS PHARMACEUTICALS LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,164.00,16.40,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,XAROCAD,CADILA PHARMACEUTICALS LTD,RIVAROXABAN TABLET 10 MG,7,TABLET,Non-Scheduled,-1,119.00,17.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,VIKLOT,HETERO HEALTHCARE LTD,RIVAROXABAN TABLET 10 MG,8,TABLET,Non-Scheduled,-1,144.00,18.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,FLOVAS,IPCA LABORATORIES PVT LTD.,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,261.75,18.70,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,ROVOR,TORRENT PHARMACEUTICALS LTD.,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,217.65,21.77,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVAXA,ABBOTT HEALTHCARE PVT. LTD,RIVAROXABAN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,336.85,22.46,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIXANT,SUN PHARMA LABORATORIES LTD.,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,230.00,23.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,NOAX,ZYDUS HEALTHCARE LTD.,RIVAROXABAN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,351.56,23.44,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVAXA,ABBOTT HEALTHCARE PVT. LTD,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,336.85,24.06,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RICOSPRIN,USV PVT LTD,RIVAROXABAN TABLET 10 MG,15,TABLET,Non-Scheduled,-1,370.55,24.70,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVAFLO,SUN PHARMA LABORATORIES LTD.,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,270.94,27.09,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,THRON,GLENMARK PHARMACEUTICALS LTD.,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,270.94,27.09,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVAZEST,CIPLA LTD.,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,406.00,29.00,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RIVARED,DR. REDDYS LABORATORIES LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,310.31,31.03,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,RICOSPRIN,USV PVT LTD,RIVAROXABAN TABLET 10 MG,10,TABLET,Non-Scheduled,-1,370.55,37.06,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,EXAFIB,EMCURE PHARMACEUTICALS LTD,RIVAROXABAN TABLET 10 MG,14,TABLET,Non-Scheduled,-1,695.15,49.65,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,XARELTO,BAYER PHARMACEUTICALS PVT. LTD.,RIVAROXABAN TABLET 10 MG,7,TABLET,Non-Scheduled,-1,951.00,135.86,Dec-2025
1521013291@322337@101105485@2107@101006@200591,OTHER,IXAROLA,ZYDUS HEALTHCARE LTD.,RIVAROXABAN TABLET 10 MG,7,TABLET,Non-Scheduled,-1,1015.00,145.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,MAIN,CAMERIV 15 MG TABLET 14,ALEMBIC LTD,RIVAROXABAN TABLET 15 MG,14 TABLET,TABLET,Non-Scheduled,-1,238.00,17.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVAFORD,LEEFORD HEALTHCARE,RIVAROXABAN TABLET 15 MG,14,TABLET,Non-Scheduled,-1,75.00,5.36,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RICOSPRIN,USV PVT LTD,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,86.25,8.63,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RPIGAT,NATCO PHARMA LTD,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,121.88,12.19,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVATANE,MEDLEY PHARMACEUTICALS,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,130.00,13.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVOXAMAC,MACLEODS PHARMACEUTICALS PVT.LTD,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,130.00,13.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVABAN,LUPIN LTD,RIVAROXABAN TABLET 15 MG,14,TABLET,Non-Scheduled,-1,186.85,13.35,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,IFAXA,LLOYD HEALTHCARE PVT.LTD,RIVAROXABAN TABLET 15 MG,15,TABLET,Non-Scheduled,-1,200.81,13.39,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVALTO,ERIS LIFESCIENCES LTD,RIVAROXABAN TABLET 15 MG,14,TABLET,Non-Scheduled,-1,187.50,13.39,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVASTAR,ORRIS PHARMACEUTICALS,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,150.00,15.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVATROY,TROIKAA PHARMACEUTICALS LTD,RIVAROXABAN TABLET 15 MG,14,TABLET,Non-Scheduled,-1,210.00,15.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,REBLESS,MANKIND PHARMACEUTICALS LTD.,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,160.00,16.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVATOP,AJANTA PHARMA LTD,RIVAROXABAN TABLET 15 MG,14,TABLET,Non-Scheduled,-1,224.00,16.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVABAN,LUPIN LTD,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,186.85,18.69,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RIVAXON,GLENMARK PHARMACEUTICALS LTD.,RIVAROXABAN TABLET 15 MG,7,TABLET,Non-Scheduled,-1,133.00,19.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,RRB,INTAS PHARMACEUTICALS LTD,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,200.00,20.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,UNCLOT,INTAS PHARMACEUTICALS LTD,RIVAROXABAN TABLET 15 MG,10,TABLET,Non-Scheduled,-1,200.00,20.00,Dec-2025
1521013147@322344@101105485@2744@101006@200591,OTHER,VIKLOT,HETERO HEALTHCARE LTD,RIVAROXABAN TABLET 15 MG,8,TABLET,Non-Scheduled,-1,160.00,20.00,Dec-2025
