HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521031723@209502@101141087@1846@101006@201763,MAIN,GLIOGEN 100 MG TABLET 5,SAMARTH LIFE SCIENCES PVT LTD,TEMOZOLOMIDE TABLET 100 MG,5 TABLET,TABLET,Non-Scheduled,-1,6250.00,1250.00,Dec-2025
1521031723@209502@101141087@1846@101006@201763,OTHER,TABZE,NEON LABORATORIES LTD,TEMOZOLOMIDE TABLET 100 MG,5,TABLET,Non-Scheduled,-1,1935.00,387.00,Dec-2025
1521031723@209502@101141087@1846@101006@201763,OTHER,TEMOTIDE,RPG LIFE SCIENCES LTD.,TEMOZOLOMIDE TABLET 100 MG,5,TABLET,Non-Scheduled,-1,2547.10,509.42,Dec-2025
1521095190@209503@101141087@3049@101006@201763,MAIN,GLIOGEN 20 MG TABLET 5,SAMARTH LIFE SCIENCES PVT LTD,TEMOZOLOMIDE TABLET 20 MG,5 TABLET,TABLET,Scheduled,342.50,1125.00,225.00,Dec-2025
1521095190@209503@101141087@3049@101006@201763,OTHER,TEMCAD,CADILA PHARMACEUTICALS LTD,TEMOZOLOMIDE TABLET 20 MG,5,TABLET,Scheduled,342.50,2316.98,463.40,Dec-2025
1521037908@209543@101141087@3215@101006@201763,MAIN,GLIOGEN 250 MG TABLET 5,SAMARTH LIFE SCIENCES PVT LTD,TEMOZOLOMIDE TABLET 250 MG,5 TABLET,TABLET,Scheduled,3823.54,6050.00,1210.00,Dec-2025
1521037908@209543@101141087@3215@101006@201763,OTHER,TEMOTIDE,RPG LIFE SCIENCES LTD.,TEMOZOLOMIDE TABLET 250 MG,5,TABLET,Scheduled,3823.54,6000.00,1200.00,Dec-2025
1521037908@209543@101141087@3215@101006@201763,OTHER,GLIOZ,DR. REDDYS LABORATORIES LTD,TEMOZOLOMIDE TABLET 250 MG,5,TABLET,Scheduled,3823.54,21495.40,4299.08,Dec-2025
1521032193@97070@101135440@1846@101038@201763,MAIN,GLIOTEM 100 MG CAPSULE 1,SUN PHARMA LABORATORIES LTD.,TEMOZOLOMIDE CAPSULE 100 MG,1 CAPSULE,CAPSULE,Scheduled,1534.96,1584.05,1584.05,Dec-2025
1521032193@97070@101135440@1846@101038@201763,OTHER,TEMOSIDE,CIPLA LTD.,TEMOZOLOMIDE CAPSULE 100 MG,5,CAPSULE,Scheduled,1534.96,3276.40,655.28,Dec-2025
1521032193@97070@101135440@1846@101038@201763,OTHER,TEMCAD,CADILA PHARMACEUTICALS LTD,TEMOZOLOMIDE CAPSULE 100 MG,5,CAPSULE,Scheduled,1534.96,3588.75,717.75,Dec-2025
1521032193@97070@101135440@1846@101038@201763,OTHER,GLIOZ,DR. REDDYS LABORATORIES LTD,TEMOZOLOMIDE CAPSULE 100 MG,5,CAPSULE,Scheduled,1534.96,4292.16,858.43,Dec-2025
1521032193@97070@101135440@1846@101038@201763,OTHER,TEMCAD,CADILA PHARMACEUTICALS LTD,TEMOZOLOMIDE CAPSULE 100 MG,7,CAPSULE,Scheduled,1534.96,10211.81,1458.83,Dec-2025
1521032193@97070@101135440@1846@101038@201763,OTHER,TEMOREL,RELIANCE LIFE SCIENCE,TEMOZOLOMIDE CAPSULE 100 MG,5,CAPSULE,Scheduled,1534.96,7534.91,1506.98,Dec-2025
1521032193@97070@101135440@1846@101038@201763,OTHER,TEMOTERO,HETERO HEALTHCARE LTD,TEMOZOLOMIDE CAPSULE 100 MG,5,CAPSULE,Scheduled,1534.96,8057.75,1611.55,Dec-2025
