HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521134518@9999998808@101224795@2107@101006@203777,MAIN,GANTRA 10 MG TABLET 14,DR. REDDYS LABORATORIES LTD,Vericiguat TABLET 10 MG,14 TABLET,TABLET,Non-Scheduled,-1,1785.93,127.57,Dec-2025
1521134518@9999998808@101224795@2107@101006@203777,OTHER,VERQUVO,BAYER PHARMACEUTICALS PVT. LTD.,Vericiguat TABLET 10 MG,14,TABLET,Non-Scheduled,-1,1785.90,127.56,Dec-2025
1521134539@9999998806@101224795@3311@101006@203777,MAIN,GANTRA 2.5 MG TABLET 14,DR. REDDYS LABORATORIES LTD,Vericiguat TABLET 2.5 MG,14 TABLET,TABLET,Non-Scheduled,-1,1785.93,127.57,Dec-2025
1521134539@9999998806@101224795@3311@101006@203777,OTHER,VERQUVO,BAYER PHARMACEUTICALS PVT. LTD.,Vericiguat TABLET 2.5 MG,14,TABLET,Non-Scheduled,-1,1785.90,127.56,Dec-2025
1521134542@9999998807@101224795@3854@101006@203777,MAIN,GANTRA 5 MG TABLET 14,DR. REDDYS LABORATORIES LTD,Vericiguat TABLET 5 MG,14 TABLET,TABLET,Non-Scheduled,-1,1785.93,127.57,Dec-2025
1521134542@9999998807@101224795@3854@101006@203777,OTHER,VERQUVO,BAYER PHARMACEUTICALS PVT. LTD.,Vericiguat TABLET 5 MG,14,TABLET,Non-Scheduled,-1,1785.90,127.56,Dec-2025
1521097141@348072@101227280@2107@101006@203777,MAIN,VERQUVO 10 MG TABLET 14,BAYER PHARMACEUTICALS PVT. LTD.,Vericiguat TABLET 10 MG,14 TABLET,TABLET,Non-Scheduled,-1,1785.90,127.56,Dec-2025
1521097141@348072@101227280@2107@101006@203777,OTHER,GANTRA,DR. REDDYS LABORATORIES LTD,Vericiguat TABLET 10 MG,14,TABLET,Non-Scheduled,-1,1785.93,127.57,Dec-2025
1521097142@347457@101227280@3311@101006@203777,MAIN,VERQUVO 2.5 MG TABLET 14,BAYER PHARMACEUTICALS PVT. LTD.,Vericiguat TABLET 2.5 MG,14 TABLET,TABLET,Non-Scheduled,-1,1785.90,127.56,Dec-2025
1521097142@347457@101227280@3311@101006@203777,OTHER,GANTRA,DR. REDDYS LABORATORIES LTD,Vericiguat TABLET 2.5 MG,14,TABLET,Non-Scheduled,-1,1785.93,127.57,Dec-2025
1521097143@348071@101227280@3854@101006@203777,MAIN,VERQUVO 5 MG TABLET 14,BAYER PHARMACEUTICALS PVT. LTD.,Vericiguat TABLET 5 MG,14 TABLET,TABLET,Non-Scheduled,-1,1785.90,127.56,Dec-2025
1521097143@348071@101227280@3854@101006@203777,OTHER,GANTRA,DR. REDDYS LABORATORIES LTD,Vericiguat TABLET 5 MG,14,TABLET,Non-Scheduled,-1,1785.93,127.57,Dec-2025
