HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521098753@350225@101192994@2974@101006@201585,MAIN,CADIVOR 200 MG TABLET 4,CADILA PHARMACEUTICALS LTD,VORICONAZOLE TABLET 200 MG,4 TABLET,TABLET,Non-Scheduled,-1,5500.00,1375.00,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIT,LUPIN LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,581.25,145.31,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VOSICAZ,GLENMARK PHARMACEUTICALS LTD.,VORICONAZOLE TABLET 200 MG,14,TABLET,Non-Scheduled,-1,2244.38,160.31,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIFAST,GALCARE PHARMACEUTICALS P. LTD,VORICONAZOLE TABLET 200 MG,10,TABLET,Non-Scheduled,-1,1865.63,186.56,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIK AF,GLENMARK PHARMACEUTICALS LTD.,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,799.00,199.75,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIBEST,ALNICHE LIFE SCIENCES PVT.LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,1500.00,375.00,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORITROP,INTAS PHARMACEUTICALS LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,1546.88,386.72,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VERZ,DR. REDDYS LABORATORIES LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,2050.00,512.50,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORILONG,ZYPHARS PHARMACEUTICS PVT. LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,2250.00,562.50,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORISPORE,ALKEM LABORATORIES LTD.,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,2475.00,618.75,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORITROL,LUPIN LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,2618.50,654.63,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIMED,UNITED BIOTECH (P) LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,3150.00,787.50,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORAZE,SUN PHARMA LABORATORIES LTD.,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,3218.30,804.58,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIZOL,NATCO PHARMA LTD,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,3401.25,850.31,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIB,LINUX LABORATORIES,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,3520.00,880.00,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VORIZ,CELON LABS,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,3600.00,900.00,Dec-2025
1521098753@350225@101192994@2974@101006@201585,OTHER,VOXPERT,KOYE PHARMACEUTICALS PVT. LTD.,VORICONAZOLE TABLET 200 MG,4,TABLET,Non-Scheduled,-1,3600.00,900.00,Dec-2025
