HiddenId,BrandType,BrandName,Company,Composition,PackSize,Unit,Status,CeilingPrice,MRP,MRPPerUnit,YearMonth
1521015650@48922@101122689@1553@101028@205199,MAIN,DERMASEAL 1 % CREAM 20 GM,ORGANIC LABORATORIES,ZINC OXIDE CREAM 1 %,20 GM CREAM,CREAM,Non-Scheduled,-1,99.90,5.00,Dec-2025
1521015651@201651@101122690@-1@101028@205199,MAIN,DERMASEAL P CREAM 20 GM,ORGANIC LABORATORIES,ZINC OXIDE CREAM ,20 GM CREAM,CREAM,Non-Scheduled,-1,135.94,6.80,Dec-2025
1521156483@700699@101243274@-1@101101@205199,MAIN,HETSCREEN SPF 50 SUNSCREEN GEL 50 GM,HETERO HEALTHCARE LTD,ZINC OXIDE GEL ,50 GM GEL,GEL,Non-Scheduled,-1,799.00,15.98,Dec-2025
1521057881@184538@101160816@2888@101101@205199,MAIN,ORABLISS 2 % GEL 10 GM,GENO PHARMACEUTICALS LTD,ZINC OXIDE GEL 2 %,10 GM GEL,GEL,Non-Scheduled,-1,86.72,8.67,Dec-2025
1521057881@184538@101160816@2888@101101@205199,OTHER,ORAZINC,ALBATROSS HEALTH CARE PVT LTD,ZINC OXIDE GEL 2 %,10,GEL,Non-Scheduled,-1,96.00,9.60,Dec-2025
1521057953@206822@101160890@2888@101101@205199,MAIN,ORAZINC 2 % GEL 10 GM,ALBATROSS HEALTH CARE PVT LTD,ZINC OXIDE GEL 2 %,10 GM GEL,GEL,Non-Scheduled,-1,96.00,9.60,Dec-2025
1521057953@206822@101160890@2888@101101@205199,OTHER,ORABLISS,GENO PHARMACEUTICALS LTD,ZINC OXIDE GEL 2 %,10,GEL,Non-Scheduled,-1,86.72,8.67,Dec-2025
1521066493@224553@101168998@3962@101088@205199,MAIN,RASHCARE 8.5 % OINTMENT 20 GM,LEEFORD HEALTHCARE,ZINC OXIDE OINTMENT 8.5 %,20 GM OINTMENT,OINTMENT,Non-Scheduled,-1,88.11,4.41,Dec-2025
1521042513@309682@101227814@3150@101101@205199,MAIN,SUNKROMA NEO 25 % GEL 50 GM,JAGSONPAL PHARMACEUTICALS LTD,ZINC OXIDE GEL 25 %,50 GM GEL,GEL,Non-Scheduled,-1,700.00,14.00,Dec-2025
1521074871@150367@101175390@-1@101019@205199,MAIN,SUNPROTEK LOTION 100 ML,SALVE PHARMACEUTICALS PVT LTD,ZINC OXIDE LOTION ,100 ML LOTION,LOTION,Non-Scheduled,-1,598.00,5.98,Dec-2025
1521074872@187200@101175390@-1@101019@205199,MAIN,SUNPROTEK LOTION 50 ML,SALVE PHARMACEUTICALS PVT LTD,ZINC OXIDE LOTION ,50 ML LOTION,LOTION,Non-Scheduled,-1,368.00,7.36,Dec-2025
1521085578@301908@101186417@1554@101019@205199,MAIN,ZINSHADE PHYSICAL SUNSCREEN SPF 50 PLUS 10 % LOTION 60 ML,ALNICHE LIFE SCIENCES PVT.LTD,ZINC OXIDE LOTION 10 %,60 ML LOTION,LOTION,Non-Scheduled,-1,900.00,15.00,Dec-2025
