"#","Registration No / Notification No","Product Name","Holder"
"1","MAL11115006AZ","SOBENZ LOZENGE (ORANGE)","Duopharma Marketing Sdn. Bhd."
"2","MAL11115007AZ","SOBENZ LOZENGE (MELON)","Duopharma Marketing Sdn. Bhd."
"3","MAL11075007X","Hocodin Lozenge 250mcg","WINWA MEDICAL SDN. BHD."
"4","MAL11095007XC","Fisherman's Friend Sugar Free Cherry Lozenges with Menthol 6.9mg","GBA CORPORATION SDN. BHD."
"5","MAL12125024T","DYNA CHUAN PHEI CORDYCEPS PLUS HERBAL GANCAO LOZENGES","DYNAPHARM HERBAL (M) SDN. BHD."
"6","MAL12115060ACZ","Difflam Anti-inflammatory Anti-Bacterial Lozenges (Raspberry)","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"7","MAL13065028NC","BiO-LiFE Oralbiotix K12 Lozenges","BIO-LIFE MARKETING SDN. BHD."
"8","MAL14075075ACZ","Difflam Anti-Inflammatory 3mg Lozenges","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"9","MAL14125072ACZ","Difflam Anti-Inflammatory Anti-Bacterial Lozenges (Honey Lemon)","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"10","MAL13115104T","VITAHERB COLD & COUGH Lozenge","WINWA MEDICAL SDN. BHD."
"11","MAL14085039T","DKE CHUAN BEI LIQUORICE PLUS LOZENGES","Dke Inno In Biotech Sdn. Bhd."
"12","MAL16025027X","Strepsils Warm Ginger Lozenges","RB (HEALTH) MALAYSIA SDN BHD"
"13","MAL18016023ASZ","Strepsils Max Pro Honey & Lemon 8.75mg Lozenge","RB (HEALTH) MALAYSIA SDN BHD"
"14","MAL16075017XC","FISHERMAN'S FRIEND SUGAR FREE CITRUS LOZENGES  WITH MENTHOL 5.75 MG","GBA CORPORATION SDN. BHD."
"15","MAL16075018XC","FISHERMAN`S FRIEND SUGAR FREE BLACKCURRANT LOZENGES  WITH MENTHOL 5.75 MG","GBA CORPORATION SDN. BHD."
"16","MAL16075015XC","FISHERMAN'S FRIEND  SUGAR FREE  SPEARMINT  LOZENGES  WITH MENTHOL  4.6 MG","GBA CORPORATION SDN. BHD."
"17","MAL19984186T","GANHO LOZENGE","WINWA MEDICAL SDN. BHD."
"18","MAL20033706T","LOZENGE BATUK GANCAO","WINWA MEDICAL SDN. BHD."
"19","MAL09082843T","Linkus Lozenges, Mint flavor","Herbion Sdn. Bhd."
"20","MAL09082844T","Linkus Lozenges, Honey - Lemon flavor","Herbion Sdn. Bhd."
"21","MAL09082845T","Linkus Lozenges, Orange flavor.","Herbion Sdn. Bhd."
"22","MAL09102985T","Koflet Lozenges","HIMALAYA WELLNESS MALAYSIA SDN. BHD."
"23","MAL12010015T","Linkus lozenges mini (Cherry flavor)","Herbion Sdn. Bhd."
"24","MAL12010016T","Linkus lozenges mini (Strawberry flavor)","Herbion Sdn. Bhd."
