input_company,input_product_name,timestamp,error_message
Andrómaco,ACNOXIN,2026-01-24T10:19:22,"Driver error opening product page: Message: TypeError: can't access property ""outerHTML"", this.document.documentElement is null
Stacktrace:
getPageSource@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:500:5
receiveMessage@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:251:31
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T10:37:02,"Driver error during search: Message: 
"
Hollister,BOLSA UROST. NEW IMAGE 57 MM,2026-01-24T14:24:59,"Driver error opening product page: Message: TypeError: can't access property ""outerHTML"", this.document.documentElement is null
Stacktrace:
getPageSource@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:500:5
receiveMessage@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:251:31
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T14:31:13,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T14:31:16,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T14:31:35,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T14:51:49,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T14:51:51,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T14:51:51,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T14:51:51,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T15:30:37,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T15:30:37,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T15:30:38,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T15:30:39,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T16:03:05,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T16:03:05,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T16:03:06,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T16:03:06,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-24T16:04:06,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-24T16:04:07,"Driver error during search: Message: 
"
Beta,CLONAX RAPID,2026-01-24T16:16:05,"Driver error during shutdown: Message: Tried to run command without establishing a connection; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
"
Kilab,CLONAZEPAM KILAB,2026-01-24T16:16:08,"Driver error during shutdown: Message: Tried to run command without establishing a connection; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
"
Pretoria,CLONAZEPAM LEPRET,2026-01-24T16:16:10,"Driver error during shutdown: Message: Tried to run command without establishing a connection; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
"
Vent 3,CLONAZEPAM,2026-01-24T16:16:13,"Driver error during shutdown: Message: Tried to run command without establishing a connection; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
"
Denver Farma,CLONAZEPAM DENVER FARMA,2026-01-24T16:16:16,"Driver error during shutdown: Message: Tried to run command without establishing a connection; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
"
Duncan,CLONAZEPAM DUNCAN,2026-01-24T16:16:18,"Driver error during shutdown: Message: Tried to run command without establishing a connection; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T16:19:42,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T16:19:44,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T16:19:44,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T16:19:45,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-24T16:19:46,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-24T16:19:46,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T16:34:40,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T16:34:42,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T16:34:44,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T16:34:45,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-24T16:34:46,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-24T16:34:46,"Driver error during search: Message: 
"
Duncan,CURINFLAM PLUS,2026-01-24T16:42:35,"Driver error during search: Message: 
"
Duncan,CURINFLAM VL,2026-01-24T16:42:35,"Driver error during search: Message: 
"
Elea,DARISEC,2026-01-24T16:44:02,"Driver error during search: Message: 
"
Janssen-Cilag,DARZALEX,2026-01-24T16:44:03,"Driver error during search: Message: 
"
Janssen-Cilag,DARZALEX SC,2026-01-24T16:44:03,"Driver error during search: Message: 
"
Fabra,DARZITIL,2026-01-24T16:44:04,"Driver error during search: Message: 
"
Fabra,DARZITIL DUO,2026-01-24T16:44:24,"Driver error during search: Message: 
"
Fabra,DARZITIL PLUS,2026-01-24T16:44:24,"Driver error during search: Message: 
"
Fabra,DARZITIL PLUS 1000 MG,2026-01-24T16:44:24,"Driver error during search: Message: 
"
Fabra,DARZITIL PLUS DUO,2026-01-24T16:44:25,"Driver error during search: Message: 
"
Aspen,DASAN,2026-01-24T16:44:45,"Driver error during search: Message: 
"
Celnova Argentina,DASANOVA,2026-01-24T16:44:46,"Driver error during search: Message: 
"
Eczane,DASATIXANE,2026-01-24T16:44:46,"Driver error during search: Message: 
"
Lafedar,DASENTRON,2026-01-24T16:44:47,"Driver error during search: Message: 
"
Duncan,DATISAN,2026-01-24T16:45:07,"Driver error during search: Message: 
"
Adium,DATIZIC,2026-01-24T16:45:07,"Driver error during search: Message: 
"
Montpellier,DAUNLIP,2026-01-24T16:45:07,"Driver error during search: Message: 
"
Kemex,DAUNORUBICINA KEMEX,2026-01-24T16:45:08,"Driver error during search: Message: 
"
Novoplos,DAYFLEX C,2026-01-24T16:45:28,"Driver error during search: Message: 
"
L.D.A.,DAYGEL RED PREVENT,2026-01-24T16:45:29,"Driver error during search: Message: 
"
Lafedar,DAYGRIP,2026-01-24T16:45:29,"Driver error during search: Message: 
"
Lafedar,DAYGRIP PLUS,2026-01-24T16:45:30,"Driver error during search: Message: 
"
Montpellier,DBI AP 500,2026-01-24T16:45:50,"Driver error during search: Message: 
"
Fortbenton,DESALER CORT,2026-01-24T16:52:52,"Driver error during search: Message: 
"
Gador,DESCOVY,2026-01-24T16:52:54,"Driver error during search: Message: 
"
Lepetit,DESCANIL/ZOPICLONA,2026-01-24T16:52:55,"Driver error during search: Message: 
"
Teva Argentina,DEXALERGIN N,2026-01-24T16:54:02,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T17:46:35,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T17:46:36,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T17:46:37,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T17:46:38,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-24T17:46:38,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-24T17:46:38,"Driver error during search: Message: 
"
Labsa,DICLOLABSA 100 RETARD,2026-01-24T17:49:02,"Driver error during search: Message: 
"
Labsa,DICLOLABSA 75 AP,2026-01-24T17:49:03,"Driver error during search: Message: 
"
Labsa,DICLOLABSA B12,2026-01-24T17:49:03,"Driver error during search: Message: 
"
Labsa,DICLOLABSA 75 R,2026-01-24T17:49:03,"Driver error during search: Message: 
"
Labsa,DICLOLABSA GESIC,2026-01-24T17:49:05,"Driver error during search: Message: 
"
Austral,DICLOLAM,2026-01-24T17:49:24,"Driver error during search: Message: 
"
Austral,DICLOLAM GEL TÓPICO AL 1%,2026-01-24T17:49:25,"Driver error during search: Message: 
"
Mar,DICLOMAR,2026-01-24T17:49:27,"Driver error during search: Message: 
"
Mar,DICLOMAR B12,2026-01-24T17:49:46,"Driver error during search: Message: 
"
Mar,DICLOMAR FLEX POTASICO,2026-01-24T17:49:46,"Driver error during search: Message: 
"
Mar,DICLOMAR GESIC,2026-01-24T17:49:48,"Driver error during search: Message: 
"
Rivero,DIXIDROL,2026-01-24T17:52:13,"Driver error opening product page: Message: The element with the reference e9b37dcd-4436-483f-9561-f9c58257010c is stale; either its node document is not the active document, or it is no longer connected to the DOM; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#staleelementreferenceexception
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:202:5
StaleElementReferenceError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:831:5
getKnownElement@chrome://remote/content/marionette/json.sys.mjs:412:11
deserializeJSON@chrome://remote/content/marionette/json.sys.mjs:270:20
cloneObject@chrome://remote/content/marionette/json.sys.mjs:59:24
deserializeJSON@chrome://remote/content/marionette/json.sys.mjs:298:16
cloneObject@chrome://remote/content/marionette/json.sys.mjs:59:24
deserializeJSON@chrome://remote/content/marionette/json.sys.mjs:298:16
json.deserialize@chrome://remote/content/marionette/json.sys.mjs:302:10
receiveMessage@chrome://remote/content/marionette/actors/MarionetteCommandsChild.sys.mjs:179:30
"
Beta,DOXATEN,2026-01-24T17:54:03,"Driver error during search: Message: 
"
Beta,DOXALINE,2026-01-24T17:54:03,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-24T17:55:15,"Driver error during search: Message: 
"
Pierre Fabre Oral Care,ELGYDIUM XTREM (+12 AÑOS),2026-01-24T17:59:02,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-24T18:00:11,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T18:18:36,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T18:18:36,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T18:18:51,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T18:18:52,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-24T18:18:58,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-24T18:18:58,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-24T18:19:44,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-24T18:19:44,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-24T18:25:23,"Driver error during search: Message: 
"
Elea,FEMOREL,2026-01-24T18:29:18,"Driver error during search: Message: 
"
Elea,FEMOREL I.V.,2026-01-24T18:29:19,"Driver error during search: Message: 
"
Beta,FEMPRO,2026-01-24T18:29:19,"Driver error during search: Message: 
"
Elea,FEMOREL MAX,2026-01-24T18:29:19,"Driver error during search: Message: 
"
Beta,FEMTERONA,2026-01-24T18:29:20,"Driver error during search: Message: 
"
Biotenk,FENITENK,2026-01-24T18:29:41,"Driver error during search: Message: 
"
Richet,FENOFIBRATO MICRONIZADO RICHET,2026-01-24T18:30:02,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-24T18:32:51,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL FUNNY BRUSH,2026-01-24T18:32:51,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,2026-01-24T18:32:52,"Driver error during search: Message: 
"
Grimberg,BUCALTAC CEPILLO DENTAL ZOO BRUSH,2026-01-24T18:32:53,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS LIGHT+VITAMINA C NUTRINAT,2026-01-24T18:32:54,"Driver error during search: Message: 
"
San Ceferino,CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,2026-01-24T18:32:55,"Driver error during search: Message: 
"
Pharmatrix,DRUM ß,2026-01-24T18:33:13,"Driver error during search: Message: 
"
Siegfried,EMPAX MET,2026-01-24T18:33:13,"Driver error during search: Message: 
"
Elea,FALGOS EXPENDEDOR X 25 BL,2026-01-24T18:33:14,"Driver error during search: Message: 
"
Teva Argentina,FENTORA 400,2026-01-24T18:34:02,"Driver error during extraction: Message: 
"
Temis-Lostaló,FERINJECT,2026-01-24T18:34:03,"Driver error during search: Message: 
"
Domínguez,FERIVE,2026-01-24T18:34:04,"Driver error during search: Message: 
"
Domínguez,FERIVE IM,2026-01-24T18:34:05,"Driver error during search: Message: 
"
Temis-Lostaló,FERRANIN,2026-01-24T18:34:23,"Driver error during search: Message: 
"
Biol,FERRETAB COMPUESTO,2026-01-24T18:34:25,"Driver error during search: Message: 
"
Fortbenton,FERRO FOLIC,2026-01-24T18:34:26,"Driver error during search: Message: 
"
Sant Gall,FERROGAL,2026-01-24T18:34:27,"Driver error during search: Message: 
"
Sant Gall,FERROGALFOL,2026-01-24T18:34:45,"Driver error during search: Message: 
"
Biosintex,FERROLOGIC VENOFER,2026-01-24T18:34:46,"Driver error during search: Message: 
"
Craveri,FERROMAX,2026-01-24T18:34:47,"Driver error during search: Message: 
"
Fortbenton,FERTILIX PLUS,2026-01-24T18:34:49,"Driver error during search: Message: 
"
Isdin,FOTO WET SKIN TRANSPARENT SPRAY SPF 50,2026-01-24T18:40:49,"Driver error during search: Message: 
"
Sant Gall,GALCICLINA SANT GALL,2026-01-24T18:43:36,"Driver error during search: Message: 
"
