PCID,Package Number,Country,Company,Product Group,Local Product Name,Generic Name,Indication,Pack Size,Effective Start Date,Effective End Date,Currency,Ex Factory Wholesale Price,Ex Factory Wholesale Price Less Rebate,Ex Factory Hospital Price,Ex Factory Hospital Price Less Rebate,Pharmacy Purchase Price,Pharmacy Purchase Price Less Rebate,Public without VAT Price,Public Without VAT Price Less Rebate,Public with VAT Price,Public With VAT Price Less Rebate,VAT Percent,Reimbursable Status,Reimbursable Price,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,Package Notes,Discontinued,Region,WHO ATC Code,Therapeutic Areas,Presentation,Marketing Authority,Local Pack Description,Formulation,Fill Unit,Fill Size,Pack Unit,Strength Size,Strength Unit,Brand Type,Import Type,Combination Molecule,Source,Quality Control Source,Quality Control Notes,Client,Client Pack Description,LOCAL_PACK_CODE,APPROVAL_DT,DDD Value,DDD Unit,Import Price
2186972,,BELARUS,"Novartis Farma S. p. A., Italy Manufacturer of the finished dosage form: Novartis Farma S. p. A., Italy # Via Provinciale Schito 131, 80058 Torre Annunziata (NA) Manufacturer performing filling/packaging: Novartis Farma S. p. A., Italy # Via Provinciale Schito 131, 80058 Torre Annunziata (NA) Issuance of authorization for the release of the medicinal product: Novartis Farma S. p. A., Italy # Via Provinciale Schito 131, 80058 Torre Annunziata (NA) Quality control: Novartis Farma S. p. A., Italy # Via Provinciale Schito 131, 80058 Torre Annunziata (NA)",SARTVAL,SARTVAL,Valsartan,,,18-03-2025,,BYR,16.97,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,"C09CA03
                        
оригинальное",,,,"film-coated tablets, 160 mg in blisters in packaging No. 14x2",,,,,,,,,,PRICENTRIC,,,,,9940/12/17/18/22/23/25,,,,"5,06 EUR"
2160572,,BELARUS,"SC Rompharm Company SRL, Romania Manufacturer of finished dosage form: SC Rompharm Company SRL, Romania Manufacturer performing filling/packaging: SC Rompharm Company SRL, Romania Issuance of permission to release the medicinal product: SC Rompharm Company SRL, Romania",DIFLORCAN-M,DIFLORCAN-M,Fluconazole,,,03-10-2018,,BYR,13.63,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,J02AC01,,,,capsules 150mg in blisters in package No. 1x1,,,,,,,,,,PRICENTRIC,,,,,5763/02/07/08/12/18,,,,"3,89 EUR"
2169278,,BELARUS,"Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer of the finished dosage form: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Manufacturer performing packaging/packaging: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Issuance of a permit for the release of a medicinal product: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus Quality control: Open Joint-Stock Company Borisov Plant of Medical Preparations, Republic of Belarus",NICERGOLIN,NICERGOLIN,Nicergoline,,,28-03-2023,,BYR,4.81,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C04AE02,,,,"film-coated tablets, 5 mg in a blister pack No. 10x3",,,,,,,,,,PRICENTRIC,,,,,348525,,,,
2160913,,BELARUS,"Lekpharm SOOO, Republic of Belarus Manufacturer of finished dosage form: Lekpharm SOOO, Republic of Belarus Manufacturer performing packaging/packaging: Lekpharm SOOO, Republic of Belarus Issuance of permission to release the medicinal product: Lekpharm SOOO, Republic of Belarus Quality control: Lekpharm SOOO, Republic of Belarus",RIVAROXABAN-LF,RIVAROXABAN-LF,Rivaroxaban,,,,,BYR,18.43,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,B01AF01,,,,"film-coated tablets, 15 mg in a blister pack No. 10x3",,,,,,,,,,PRICENTRIC,,,,,525640,,,,
2160552,,BELARUS,"Dragenopharm Apotheker Puschl GmbH, Germany Manufacturer of the finished dosage form: Dragenopharm Apotheker Puschl GmbH, Germany Manufacturer performing filling/packaging: Dragenopharm Apotheker Puschl GmbH, Germany Issuance of permission to release the medicinal product: Dragenopharm Apotheker Puschl GmbH, Germany",Metfogamma 1000,Metfogamma 1000,Metformin,,,21-12-2020,,BYR,24.24,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,A10BA02,,,,"film-coated tablets, 1000 mg in blisters in packaging No. 15x8",,,,,,,,,,PRICENTRIC,,,,,9287/10/11/15/20,,,,"6,97 EUR"
2209189,,BELARUS,"Italfarmaco SpA, Italy Manufacturer of the finished dosage form: Italfarmaco SpA, Italy Manufacturer performing filling/packaging: Italfarmaco SpA, Italy Issuance of authorization for the release of the medicinal product: Italfarmaco SpA, Italy",GLIATILIN,GLIATILIN,Choline alfoscerate,,,22-02-2017,,BYR,32.07,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,"N07AX02
                        
оригинальное",,,,solution for intravenous and intramuscular administration 1000 mg/4 ml in 4 ml ampoules in package No. 3,,,,,,,,,,PRICENTRIC,,,,,9375/10/16/17,,,,"9,33 EUR"
1322113,,BELARUS,"EGIS Pharmaceuticals PLC, Hungary Manufacturer of finished dosage form: EGIS Pharmaceuticals PLC, Hungary Manufacturer performing filling/packaging: EGIS Pharmaceuticals PLC, Hungary Issuance of authorization for the release of the medicinal product: EGIS Pharmaceuticals PLC, Hungary",Cardilopin,Cardilopin,Amlodipine,,,03-05-2017,,BYR,14.79,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C08CA01,,,,tablets 10 mg in blisters in packaging No. 10x3,,,,,,,,,,PRICENTRIC,,,,,5796/02/07/12/17,,,,"4,26 EUR"
2160613,,BELARUS,"Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Manufacturer of finished dosage form: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Manufacturer performing filling/packaging: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Issuance of permission to release the medicinal product: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus Quality control: Belarusian-Dutch Joint Venture Limited Liability Company Pharmland (JV OOO Pharmland), Republic of Belarus",Sevofluran,Sevofluran,Sevoflurane,,,26-07-2023,,BYR,196.45,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,N01AB08,,,,liquid for inhalation anesthesia in glass bottles 250 ml complete with adapter in package No. 1,,,,,,,,,,PRICENTRIC,,,,,350473,,,,
2160659,,BELARUS,"Lekpharm SOOO, Republic of Belarus Manufacturer of finished dosage form: Lekpharm SOOO, Republic of Belarus Manufacturer performing packaging/packaging: Lekpharm SOOO, Republic of Belarus Issuance of permission to release the medicinal product: Lekpharm SOOO, Republic of Belarus Quality control: Lekpharm SOOO, Republic of Belarus",DEXKETOPROFEN-LF,DEXKETOPROFEN-LF,Dexketoprofen,,,06-06-2022,,BYR,9.26,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,M01AE17,,,,solution for intravenous and intramuscular administration 50 mg/2 ml in ampoules in packaging No. 5x1,,,,,,,,,,PRICENTRIC,,,,,246348,,,,
2037445,,BELARUS,"Belmedpreparaty RUE, Republic of Belarus Manufacturer of finished dosage form: Belmedpreparaty RUE, Republic of Belarus # 220006, Minsk, Mayakovsky Street, 1/5 (Workshop No. 6) Manufacturer performing filling/packaging: Belmedpreparaty RUE, Republic of Belarus # 220006, Minsk, Mayakovsky Street, 1/5 (Workshop No. 6) Issuance of permission to release a medicinal product: Belmedpreparaty RUE, Republic of Belarus # 220006, Minsk, Mayakovsky Street, 1 Quality control: Belmedpreparaty RUE, Republic of Belarus # 220006, Minsk, Mayakovsky Street, 1",LOZARTAN,LOZARTAN,Losartan,,,18-12-2024,,BYR,8.05,,,,,,,,,,0,FULLY REIMBURSABLE,,,,,,65 Manual Entry,,NO,EUROPE,C09CA01,,,,"film-coated tablets, 100 mg in a blister pack No. 10x3",,,,,,,,,,PRICENTRIC,,,,,277944,,,,
